,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239
0,-0.26,-0.26,-0.26,-0.26,-0.22,-0.22,-0.22,-0.22,-0.22,-0.26,-0.26,-0.26,-0.26,-0.26,-0.34,-0.34,-0.34,-0.34,-0.34,-0.22,-0.22,-0.22,-0.22,-0.3,-0.3,-0.3,-0.3,-0.3,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.3,-0.3,0.12,0.12,0.12,0.12,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.12,0.12,0.12,0.12,0.12,0.16,0.16,0.16,0.16,0.12,0.12,0.12,0.12,0.12,0.16,0.16,0.16,0.16,0.16,0.2,0.2,0.2,0.2,0.2,0.16,0.16,9.91,9.91,9.91,9.91,9.95,9.95,9.95,9.95,9.95,9.98,9.98,9.98,9.98,9.98,9.95,9.95,9.95,9.95,9.95,9.98,9.98,9.98,9.98,9.91,9.91,9.91,9.91,9.91,10.14,10.14,10.14,10.14,10.14,10.06,10.06,10.06,10.06,10.06,9.98,9.98,0.00175,0.00175,0.00175,0.00175,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00168,0.00168,0.00168,0.00168,0.00168,0.00175,0.00175,0.00175,0.00175,0.00175,0.00168,0.00168,-0.00455,-0.00455,-0.00455,-0.00455,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00455,-0.00455,-0.00455,-0.00455,-0.00455,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,0.00014,0.00014,0.00014,0.00014,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021
1,1.37,1.37,1.37,1.37,1.37,1.4,1.4,1.4,1.4,1.4,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.48,1.48,1.48,1.48,1.48,1.33,1.33,1.33,1.33,1.33,1.44,1.44,5.89,5.89,5.89,5.89,5.89,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.85,5.85,5.85,5.85,5.85,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.93,5.93,5.93,5.93,5.93,5.93,5.93,-7.79,-7.79,-7.79,-7.79,-7.79,-7.67,-7.67,-7.67,-7.67,-7.67,-7.67,-7.67,-7.67,-7.67,-7.71,-7.71,-7.71,-7.71,-7.71,-7.63,-7.63,-7.63,-7.63,-7.63,-7.71,-7.71,-7.71,-7.71,-7.71,-7.71,-7.71,-7.71,-7.71,-7.71,-7.71,-7.71,-7.71,-7.71,-7.63,-7.63,0.00161,0.00161,0.00161,0.00161,0.00161,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00161,0.00161,0.00161,0.00161,0.00161,0.00168,0.00168,0.00168,0.00168,0.00168,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00469,-0.00469,-0.00469,-0.00469,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00462,-0.00462,-0.00462,-0.00462,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,0.00021,0.00021,0.00021,0.00021,0.00021,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00021,0.00021,0.00021,0.00021,0.00021,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00021,0.00021,0.00021,0.00021,0.00021,0.00014,0.00014
2,0.43,0.43,0.43,0.43,0.43,0.47,0.47,0.47,0.47,0.39,0.39,0.39,0.39,0.39,0.43,0.43,0.43,0.43,0.43,0.47,0.47,0.47,0.47,0.47,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,-0.03,-0.03,-0.03,-0.03,-0.03,0.08,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.08,-9.58,-9.58,-9.58,-9.58,-9.58,-9.39,-9.39,-9.39,-9.39,-9.55,-9.55,-9.55,-9.55,-9.55,-9.58,-9.58,-9.58,-9.58,-9.58,-9.62,-9.62,-9.62,-9.62,-9.62,-9.55,-9.55,-9.55,-9.55,-9.51,-9.51,-9.51,-9.51,-9.51,-9.58,-9.58,-9.58,-9.58,-9.58,-9.51,-9.51,0.00182,0.00182,0.00182,0.00182,0.00182,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00182,0.00182,0.00182,0.00182,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00476,-0.00476,-0.00476,-0.00476,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,0.00014,0.00014,0.00014,0.00014,0.00014,0.00021,0.00021,0.00021,0.00021,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
3,-7.17,-7.17,-7.17,-7.17,-7.17,-7.21,-7.21,-7.21,-7.21,-7.21,-7.21,-7.21,-7.21,-7.21,-7.24,-7.24,-7.24,-7.24,-7.24,-7.17,-7.17,-7.17,-7.17,-7.17,-7.21,-7.21,-7.21,-7.21,-7.21,-7.13,-7.13,-7.13,-7.13,-7.13,-7.13,-7.13,-7.13,-7.13,-7.17,-7.17,0.08,0.08,0.08,0.08,0.08,0.12,0.12,0.12,0.12,0.12,0.08,0.08,0.08,0.08,0.12,0.12,0.12,0.12,0.12,0.2,0.2,0.2,0.2,0.2,0.16,0.16,0.16,0.16,0.16,0.08,0.08,0.08,0.08,0.12,0.12,0.12,0.12,0.12,0.12,0.12,7.14,7.14,7.14,7.14,7.14,7.06,7.06,7.06,7.06,7.06,7.1,7.1,7.1,7.1,7.18,7.18,7.18,7.18,7.18,7.14,7.14,7.14,7.14,7.14,7.1,7.1,7.1,7.1,7.1,7.06,7.06,7.06,7.06,7.1,7.1,7.1,7.1,7.1,7.14,7.14,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00469,-0.00469,0.00021,0.00021,0.00021,0.00021,0.00021,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
4,0.16,0.16,0.16,0.16,0.12,0.12,0.12,0.12,0.12,0.16,0.16,0.16,0.16,0.16,0.08,0.08,0.08,0.08,0.16,0.16,0.16,0.16,0.16,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.16,0.16,0.16,0.16,0.08,0.08,0.08,1.17,1.17,1.17,1.17,1.13,1.13,1.13,1.13,1.13,1.21,1.21,1.21,1.21,1.21,1.17,1.17,1.17,1.17,1.13,1.13,1.13,1.13,1.13,1.25,1.25,1.25,1.25,1.25,1.17,1.17,1.17,1.17,1.17,1.21,1.21,1.21,1.21,1.13,1.13,1.13,9.95,9.95,9.95,9.95,9.83,9.83,9.83,9.83,9.83,10.02,10.02,10.02,10.02,10.02,9.91,9.91,9.91,9.91,9.87,9.87,9.87,9.87,9.87,9.79,9.79,9.79,9.79,9.79,9.83,9.83,9.83,9.83,9.83,9.95,9.95,9.95,9.95,9.95,9.95,9.95,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00175,0.00175,0.00175,0.00175,0.00175,0.00168,0.00168,0.00168,0.00168,0.00168,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00455,-0.00455,-0.00455,-0.00455,-0.00455,-0.00469,-0.00469,-0.00469,-0.00469,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00021,0.00021,0.00021,0.00021,0.00021,0.00014,0.00014,0.00014,0.00014,0.00021,0.00021,0.00021
5,-5.22,-5.22,-5.22,-5.22,-5.22,-5.26,-5.26,-5.26,-5.26,-5.26,-5.26,-5.26,-5.26,-5.26,-5.26,-5.33,-5.33,-5.33,-5.33,-5.22,-5.22,-5.22,-5.22,-5.22,-5.26,-5.26,-5.26,-5.26,-5.26,-5.22,-5.22,-5.22,-5.22,-5.26,-5.26,-5.26,-5.26,-5.26,-5.29,-5.29,-5.14,-5.14,-5.14,-5.14,-5.14,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.18,-5.14,-5.14,-5.14,-5.14,-5.14,-5.14,-5.14,-5.14,-5.14,-5.1,-5.1,6.75,6.75,6.75,6.75,6.75,6.71,6.71,6.71,6.71,6.71,6.79,6.79,6.79,6.79,6.79,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.71,6.75,6.75,6.75,6.75,6.79,6.79,6.79,6.79,6.79,6.79,6.79,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00175,0.00175,0.00175,0.00175,0.00175,0.00168,0.00168,0.00168,0.00168,0.00175,0.00175,0.00175,0.00175,0.00175,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,0.00168,-0.00455,-0.00455,-0.00455,-0.00455,-0.00455,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
6,-2.14,-2.14,-2.14,-2.14,-2.14,-2.06,-2.06,-2.06,-2.06,-2.21,-2.21,-2.21,-2.21,-2.21,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.14,-2.14,-2.14,-2.14,-2.1,-2.1,-2.1,-2.1,-2.1,-2.17,-2.17,-2.17,-2.17,-2.17,-2.17,-2.17,2.26,2.26,2.26,2.26,2.26,2.18,2.18,2.18,2.18,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.3,2.3,2.3,2.3,2.3,2.22,2.22,2.22,2.22,2.22,2.26,2.26,-9.16,-9.16,-9.16,-9.16,-9.16,-9.23,-9.23,-9.23,-9.23,-8.96,-8.96,-8.96,-8.96,-8.96,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-9.19,-8.96,-8.96,-8.96,-8.96,-9.19,-9.19,-9.19,-9.19,-9.19,-9.16,-9.16,-9.16,-9.16,-9.16,-8.92,-8.92,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00175,0.00175,0.00175,0.00175,0.00175,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00189,0.00189,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049,-0.00483,-0.00483,-0.00483,-0.00483,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00483,-0.00483,-0.00483,-0.00483,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.0049,-0.0049,0.00021,0.00021,0.00021,0.00021,0.00021,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00028,0.00028
7,8.23,8.23,8.23,8.23,8.23,8.07,8.07,8.07,8.07,8.11,8.11,8.11,8.11,8.11,8.15,8.15,8.15,8.15,8.15,8.07,8.07,8.07,8.07,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,-2.53,-2.53,-2.53,-2.53,-2.53,-2.56,-2.56,-2.56,-2.56,-2.49,-2.49,-2.49,-2.49,-2.49,-2.45,-2.45,-2.45,-2.45,-2.45,-2.49,-2.49,-2.49,-2.49,-2.49,-2.49,-2.49,-2.49,-2.49,-2.53,-2.53,-2.53,-2.53,-2.53,-2.53,-2.53,-2.53,-2.53,-2.53,-2.49,-2.49,-3.97,-3.97,-3.97,-3.97,-3.97,-3.89,-3.89,-3.89,-3.89,-3.97,-3.97,-3.97,-3.97,-3.97,-3.97,-3.97,-3.97,-3.97,-3.97,-3.97,-3.97,-3.97,-3.97,-3.73,-3.73,-3.73,-3.73,-3.73,-3.93,-3.93,-3.93,-3.93,-3.93,-3.93,-3.93,-3.93,-3.93,-3.93,-3.97,-3.97,0.00154,0.00154,0.00154,0.00154,0.00154,0.00189,0.00189,0.00189,0.00189,0.00182,0.00182,0.00182,0.00182,0.00182,0.00161,0.00161,0.00161,0.00161,0.00161,0.00189,0.00189,0.00189,0.00189,0.00182,0.00182,0.00182,0.00182,0.00182,0.00168,0.00168,0.00168,0.00168,0.00168,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,0.00182,-0.00378,-0.00378,-0.00378,-0.00378,-0.00378,-0.00532,-0.00532,-0.00532,-0.00532,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049,-0.00413,-0.00413,-0.00413,-0.00413,-0.00413,-0.00504,-0.00504,-0.00504,-0.00504,-0.00497,-0.00497,-0.00497,-0.00497,-0.00497,-0.00434,-0.00434,-0.00434,-0.00434,-0.00434,-0.00483,-0.00483,-0.00483,-0.00483,-0.00483,-0.0049,-0.0049,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,0.00028,0.00028,0.00028,0.00028,0.00014,0.00014,0.00014,0.00014,0.00014,-7e-05,-7e-05,-7e-05,-7e-05,-7e-05,0.00021,0.00021,0.00021,0.00021,0.00014,0.00014,0.00014,0.00014,0.00014,-7e-05,-7e-05,-7e-05,-7e-05,-7e-05,0.00014,0.00014,0.00014,0.00014,0.00014,0.00021,0.00021
8,1.79,1.79,1.79,1.79,1.79,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.83,1.83,1.83,1.83,1.83,1.79,1.79,1.79,1.79,1.79,1.87,1.87,1.87,1.87,1.87,1.79,1.79,1.79,1.79,1.76,1.76,1.76,1.76,1.76,1.79,1.79,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.27,0.27,0.27,0.27,0.23,0.23,0.23,0.23,0.23,0.16,0.16,0.16,0.16,0.16,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.75,9.75,9.75,9.75,9.75,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.79,9.79,9.79,9.79,9.79,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.48,9.48,0.00182,0.00182,0.00182,0.00182,0.00182,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00182,0.00182,0.00182,0.00182,0.00182,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,-0.00462,-0.00462,-0.00462,-0.00462,-0.00462,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00476,-0.00476,-0.00476,-0.00476,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,7e-05,7e-05,7e-05,7e-05,0.00014,0.00014,0.00014,0.00014,0.00014,7e-05,7e-05,7e-05,7e-05,7e-05,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05
9,1.56,1.56,1.56,1.56,1.56,1.52,1.52,1.52,1.52,1.44,1.44,1.44,1.44,1.44,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.6,1.6,1.6,1.6,1.6,1.52,1.52,1.52,1.52,1.52,1.52,1.52,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,-0.03,-0.03,-0.07,-0.07,-0.07,-0.07,-0.07,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-9.47,-9.47,-9.47,-9.47,-9.47,-9.35,-9.35,-9.35,-9.35,-9.43,-9.43,-9.43,-9.43,-9.43,-9.43,-9.43,-9.43,-9.43,-9.43,-9.43,-9.43,-9.43,-9.43,-9.39,-9.39,-9.39,-9.39,-9.39,-9.23,-9.23,-9.23,-9.23,-9.23,-9.39,-9.39,-9.39,-9.39,-9.39,-9.43,-9.43,0.00168,0.00168,0.00168,0.00168,0.00168,0.00175,0.00175,0.00175,0.00175,0.00182,0.00182,0.00182,0.00182,0.00182,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00175,0.00182,0.00182,0.00182,0.00182,0.00182,0.00175,0.00175,0.00175,0.00175,0.00175,0.00168,0.00168,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00469,-0.00469,-0.00469,-0.00469,-0.00469,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,-0.00476,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,0.00014,0.00014,0.00014,0.00014,0.00014,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05
