acquisition,RX_level,RX_difference,F2_std_noise,std_noise
0,-78.446105,2.770393,7.407,96.0
0,-78.446105,2.770393,7.407,96.0
0,-78.446105,2.770393,7.407,96.0
0,-78.446105,2.770393,7.407,96.0
1,-78.56845,2.651306,7.5130002000000005,60.0
1,-78.56845,2.651306,7.5130002000000005,60.0
1,-78.56845,2.651306,7.5130002000000005,60.0
1,-78.56845,2.651306,7.5130002000000005,60.0
2,-78.56845,2.651306,7.5130002000000005,60.0
2,-78.878646,2.3181,7.677,48.0
2,-78.878646,2.3181,7.677,48.0
2,-78.878646,2.3181,7.677,48.0
3,-78.878646,2.3181,7.677,48.0
3,-78.79692,2.685616,7.30600024,56.0
3,-78.79692,2.685616,7.30600024,56.0
3,-78.79692,2.685616,7.30600024,56.0
4,-78.79692,2.685616,7.30600024,56.0
4,-78.79692,2.685616,7.30600024,56.0
4,-78.625946,2.571884,7.6610004,60.0
4,-78.625946,2.571884,7.6610004,60.0
5,-78.625946,2.571884,7.6610004,60.0
5,-78.625946,2.571884,7.6610004,60.0
5,-78.761772,3.502075,7.228,52.0
5,-78.761772,3.502075,7.228,52.0
6,-78.761772,3.502075,7.228,52.0
6,-78.761772,3.502075,7.228,52.0
6,-78.761772,3.502075,7.228,52.0
6,-78.940437,2.296974,7.31900016,48.0
7,-78.940437,2.296974,7.31900016,48.0
7,-78.940437,2.296974,7.31900016,48.0
7,-78.940437,2.296974,7.31900016,48.0
7,-78.730995,2.366112,7.397000520000001,52.0
8,-78.730995,2.366112,7.397000520000001,52.0
8,-78.730995,2.366112,7.397000520000001,52.0
8,-78.730995,2.366112,7.397000520000001,52.0
8,-78.730995,2.366112,7.397000520000001,52.0
9,-78.770019,2.379105,7.3870004,52.0
9,-78.770019,2.379105,7.3870004,52.0
9,-78.770019,2.379105,7.3870004,52.0
9,-78.770019,2.379105,7.3870004,52.0
10,-78.598098,2.322777,7.70800072,56.0
10,-78.598098,2.322777,7.70800072,56.0
10,-78.598098,2.322777,7.70800072,56.0
10,-78.598098,2.322777,7.70800072,56.0
11,-78.598098,2.322777,7.70800072,56.0
11,-78.7556,2.447273,7.593000239999999,56.0
11,-78.7556,2.447273,7.593000239999999,56.0
11,-78.7556,2.447273,7.593000239999999,56.0
12,-78.7556,2.447273,7.593000239999999,56.0
12,-78.786552,2.322731,7.68700016,56.0
12,-78.786552,2.322731,7.68700016,56.0
12,-78.786552,2.322731,7.68700016,56.0
13,-78.786552,2.322731,7.68700016,56.0
13,-78.786552,2.322731,7.68700016,56.0
13,-78.79692,2.461952,7.61600008,52.0
13,-78.79692,2.461952,7.61600008,52.0
14,-78.79692,2.461952,7.61600008,52.0
14,-78.79692,2.461952,7.61600008,52.0
14,-78.678154,2.4683,7.69100024,56.0
14,-78.678154,2.4683,7.69100024,56.0
15,-78.678154,2.4683,7.69100024,56.0
15,-78.678154,2.4683,7.69100024,56.0
15,-78.678154,2.4683,7.69100024,56.0
15,-78.560585,2.747627,7.3780002399999995,52.0
16,-78.560585,2.747627,7.3780002399999995,52.0
16,-78.560585,2.747627,7.3780002399999995,52.0
16,-78.560585,2.747627,7.3780002399999995,52.0
16,-78.798996,2.879341,7.514,52.0
17,-78.798996,2.879341,7.514,52.0
17,-78.798996,2.879341,7.514,52.0
17,-78.798996,2.879341,7.514,52.0
17,-78.798996,2.879341,7.514,52.0
18,-78.763832,2.801842,7.24900064,56.0
18,-78.763832,2.801842,7.24900064,56.0
18,-78.763832,2.801842,7.24900064,56.0
18,-78.763832,2.801842,7.24900064,56.0
19,-78.392822,2.713379,7.636000200000001,60.0
19,-78.392822,2.713379,7.636000200000001,60.0
19,-78.392822,2.713379,7.636000200000001,60.0
19,-78.392822,2.713379,7.636000200000001,60.0
20,-78.392822,2.713379,7.636000200000001,60.0
20,-78.594131,2.885422,7.48,44.0
20,-78.594131,2.885422,7.48,44.0
20,-78.594131,2.885422,7.48,44.0
21,-78.594131,2.885422,7.48,44.0
21,-78.509765,2.738884,7.61000016,48.0
21,-78.509765,2.738884,7.61000016,48.0
21,-78.509765,2.738884,7.61000016,48.0
22,-78.509765,2.738884,7.61000016,48.0
22,-78.509765,2.738884,7.61000016,48.0
22,-78.844932,3.354988,7.05900048,48.0
22,-78.844932,3.354988,7.05900048,48.0
23,-78.844932,3.354988,7.05900048,48.0
23,-78.844932,3.354988,7.05900048,48.0
23,-78.574363,3.215507,7.472,40.0
23,-78.574363,3.215507,7.472,40.0
24,-78.574363,3.215507,7.472,40.0
24,-78.574363,3.215507,7.472,40.0
24,-78.574363,3.215507,7.472,40.0
24,-78.684219,2.818718,7.2280008,60.0
25,-78.684219,2.818718,7.2280008,60.0
25,-78.684219,2.818718,7.2280008,60.0
25,-78.684219,2.818718,7.2280008,60.0
25,-78.919029,2.691772,7.4850006,60.0
26,-78.919029,2.691772,7.4850006,60.0
26,-78.919029,2.691772,7.4850006,60.0
26,-78.919029,2.691772,7.4850006,60.0
26,-78.919029,2.691772,7.4850006,60.0
27,-78.730995,2.740006,7.2440004,56.0
27,-78.730995,2.740006,7.2440004,56.0
27,-78.730995,2.740006,7.2440004,56.0
27,-78.730995,2.740006,7.2440004,56.0
28,-78.459533,2.948837,7.6360003999999995,56.0
28,-78.459533,2.948837,7.6360003999999995,56.0
28,-78.459533,2.948837,7.6360003999999995,56.0
28,-78.459533,2.948837,7.6360003999999995,56.0
29,-78.459533,2.948837,7.6360003999999995,56.0
29,-78.523384,2.809105,7.71600032,56.0
29,-78.523384,2.809105,7.71600032,56.0
29,-78.523384,2.809105,7.71600032,56.0
30,-78.523384,2.809105,7.71600032,56.0
30,-78.730995,2.694489,7.465000000000001,40.0
30,-78.730995,2.694489,7.465000000000001,40.0
30,-78.730995,2.694489,7.465000000000001,40.0
31,-78.730995,2.694489,7.465000000000001,40.0
31,-78.730995,2.694489,7.465000000000001,40.0
31,-78.885002,2.508858,7.300999640000001,44.0
31,-78.885002,2.508858,7.300999640000001,44.0
32,-78.885002,2.508858,7.300999640000001,44.0
32,-78.885002,2.508858,7.300999640000001,44.0
32,-79.113342,2.334244,7.14100032,48.0
32,-79.113342,2.334244,7.14100032,48.0
33,-79.113342,2.334244,7.14100032,48.0
33,-79.113342,2.334244,7.14100032,48.0
33,-79.113342,2.334244,7.14100032,48.0
33,-78.592155,2.440742,7.66900064,56.0
34,-78.592155,2.440742,7.66900064,56.0
34,-78.592155,2.440742,7.66900064,56.0
34,-78.592155,2.440742,7.66900064,56.0
34,-78.668067,2.444199,7.56299992,56.0
35,-78.668067,2.444199,7.56299992,56.0
35,-78.668067,2.444199,7.56299992,56.0
35,-78.668067,2.444199,7.56299992,56.0
35,-78.668067,2.444199,7.56299992,56.0
36,-78.931861,2.395897,7.241000519999999,52.0
36,-78.931861,2.395897,7.241000519999999,52.0
36,-78.931861,2.395897,7.241000519999999,52.0
36,-78.931861,2.395897,7.241000519999999,52.0
37,-78.225837,3.127464,7.74600008,52.0
37,-78.225837,3.127464,7.74600008,52.0
37,-78.225837,3.127464,7.74600008,52.0
37,-78.225837,3.127464,7.74600008,52.0
38,-78.225837,3.127464,7.74600008,52.0
38,-78.678154,2.732636,7.6219998,60.0
38,-78.678154,2.732636,7.6219998,60.0
38,-78.678154,2.732636,7.6219998,60.0
39,-78.678154,2.732636,7.6219998,60.0
39,-78.684219,3.33284,7.32,48.0
39,-78.684219,3.33284,7.32,48.0
