acquisition,RX_level,RX_difference,maxNoise
0,-78.688262,2.524811,1024.0
0,-78.688262,2.524811,1024.0
1,-78.688262,2.524811,1024.0
1,-78.688262,2.524811,1024.0
2,-78.700431,2.477303,1023.0
2,-78.700431,2.477303,1023.0
3,-78.700431,2.477303,1023.0
3,-78.700431,2.477303,1023.0
4,-78.674118,2.573433,1024.0
4,-78.674118,2.573433,1024.0
5,-78.674118,2.573433,1024.0
5,-78.674118,2.573433,1024.0
6,-78.780342,2.658173,1022.0
6,-78.780342,2.658173,1022.0
7,-78.780342,2.658173,1022.0
7,-78.780342,2.658173,1022.0
8,-78.623954,2.583618,1125.0
8,-78.623954,2.583618,1125.0
9,-78.623954,2.583618,1125.0
9,-78.623954,2.583618,1125.0
10,-78.872306,2.424744,1175.0
10,-78.872306,2.424744,1175.0
11,-78.872306,2.424744,1175.0
11,-78.872306,2.424744,1175.0
12,-78.674118,2.452805,1028.0
12,-78.674118,2.452805,1028.0
13,-78.674118,2.452805,1028.0
13,-78.674118,2.452805,1028.0
14,-78.645957,2.574478,1131.0
14,-78.645957,2.574478,1131.0
15,-78.645957,2.574478,1131.0
15,-78.645957,2.574478,1131.0
16,-78.680175,2.866226,1129.0
16,-78.680175,2.866226,1129.0
17,-78.680175,2.866226,1129.0
17,-78.680175,2.866226,1129.0
18,-78.552726,2.625847,1026.0
18,-78.552726,2.625847,1026.0
19,-78.552726,2.625847,1026.0
19,-78.552726,2.625847,1026.0
20,-78.621963,2.633011,1023.0
20,-78.621963,2.633011,1023.0
21,-78.621963,2.633011,1023.0
21,-78.621963,2.633011,1023.0
22,-78.720779,2.651192,1125.0
22,-78.720779,2.651192,1125.0
23,-78.720779,2.651192,1125.0
23,-78.720779,2.651192,1125.0
24,-78.743278,2.678902,1025.0
24,-78.743278,2.678902,1025.0
25,-78.743278,2.678902,1025.0
25,-78.743278,2.678902,1025.0
26,-78.743278,2.658066,1020.0
26,-78.743278,2.658066,1020.0
27,-78.743278,2.658066,1020.0
27,-78.743278,2.658066,1020.0
28,-78.761772,2.466125,1028.0
28,-78.761772,2.466125,1028.0
29,-78.761772,2.466125,1028.0
29,-78.761772,2.466125,1028.0
30,-78.651969,2.598274,924.0
30,-78.651969,2.598274,924.0
31,-78.651969,2.598274,924.0
31,-78.651969,2.598274,924.0
32,-78.552726,2.981926,1127.0
32,-78.552726,2.981926,1127.0
33,-78.552726,2.981926,1127.0
33,-78.552726,2.981926,1127.0
34,-78.604049,2.984093,1126.0
34,-78.604049,2.984093,1126.0
35,-78.604049,2.984093,1126.0
35,-78.604049,2.984093,1126.0
36,-78.747383,3.128487,1083.0
36,-78.747383,3.128487,1083.0
37,-78.747383,3.128487,1083.0
37,-78.747383,3.128487,1083.0
38,-78.855438,2.678757,1028.0
38,-78.855438,2.678757,1028.0
39,-78.855438,2.678757,1028.0
39,-78.855438,2.678757,1028.0
40,-78.566482,2.728233,1027.0
40,-78.566482,2.728233,1027.0
41,-78.566482,2.728233,1027.0
41,-78.566482,2.728233,1027.0
42,-78.807312,2.978958,1226.0
42,-78.807312,2.978958,1226.0
43,-78.807312,2.978958,1226.0
43,-78.807312,2.978958,1226.0
44,-78.751487,2.423714,1127.0
44,-78.751487,2.423714,1127.0
45,-78.751487,2.423714,1127.0
45,-78.751487,2.423714,1127.0
46,-78.919029,2.461266,1083.0
46,-78.919029,2.461266,1083.0
47,-78.919029,2.461266,1083.0
47,-78.919029,2.461266,1083.0
48,-78.670082,3.016655,1228.0
48,-78.670082,3.016655,1228.0
49,-78.670082,3.016655,1228.0
49,-78.670082,3.016655,1228.0
50,-78.688262,2.606232,1124.0
50,-78.688262,2.606232,1124.0
51,-78.688262,2.606232,1124.0
51,-78.688262,2.606232,1124.0
52,-78.529235,2.631142,1126.0
52,-78.529235,2.631142,1126.0
53,-78.529235,2.631142,1126.0
53,-78.529235,2.631142,1126.0
54,-78.674118,2.673668,1123.0
54,-78.674118,2.673668,1123.0
55,-78.674118,2.673668,1123.0
55,-78.674118,2.673668,1123.0
56,-78.706527,2.617264,1124.0
56,-78.706527,2.617264,1124.0
57,-78.706527,2.617264,1124.0
57,-78.706527,2.617264,1124.0
58,-78.668067,2.671768,1124.0
58,-78.668067,2.671768,1124.0
59,-78.668067,2.671768,1124.0
59,-78.668067,2.671768,1124.0
60,-78.463378,2.702942,1121.0
60,-78.463378,2.702942,1121.0
61,-78.463378,2.702942,1121.0
61,-78.463378,2.702942,1121.0
62,-78.586212,2.524979,1124.0
62,-78.586212,2.524979,1124.0
63,-78.586212,2.524979,1124.0
63,-78.586212,2.524979,1124.0
64,-78.743278,2.719429,1023.0
64,-78.743278,2.719429,1023.0
65,-78.743278,2.719429,1023.0
