acquisition,RX_level,RX_difference,maxNoise
0,-79.888664,5.242317,1503.0
0,-79.888664,5.242317,1503.0
1,-79.888664,5.242317,1503.0
1,-79.888664,5.242317,1503.0
2,-79.770179,5.969696,1503.0
2,-79.770179,5.969696,1503.0
3,-79.770179,5.969696,1503.0
3,-79.770179,5.969696,1503.0
4,-79.950492,5.359009,1502.0
4,-79.950492,5.359009,1502.0
5,-79.950492,5.359009,1502.0
5,-79.950492,5.359009,1502.0
6,-80.082443,6.452927,1362.0
6,-80.082443,6.452927,1362.0
7,-80.082443,6.452927,1362.0
7,-80.082443,6.452927,1362.0
8,-80.057395,5.241302,1287.0
8,-80.057395,5.241302,1287.0
9,-80.057395,5.241302,1287.0
9,-80.057395,5.241302,1287.0
10,-79.715972,5.494034,1581.0
10,-79.715972,5.494034,1581.0
11,-79.715972,5.494034,1581.0
11,-79.715972,5.494034,1581.0
12,-80.054618,5.55275,1358.0
12,-80.054618,5.55275,1358.0
13,-80.054618,5.55275,1358.0
13,-80.054618,5.55275,1358.0
14,-79.955917,5.651245,1428.0
14,-79.955917,5.651245,1428.0
15,-79.955917,5.651245,1428.0
15,-79.955917,5.651245,1428.0
16,-79.931579,5.620422,1502.0
16,-79.931579,5.620422,1502.0
17,-79.931579,5.620422,1502.0
17,-79.931579,5.620422,1502.0
18,-79.93428,4.981621,1435.0
18,-79.93428,4.981621,1435.0
19,-79.93428,4.981621,1435.0
19,-79.93428,4.981621,1435.0
20,-79.888664,4.434303,1654.0
20,-79.888664,4.434303,1654.0
21,-79.888664,4.434303,1654.0
21,-79.888664,4.434303,1654.0
22,-79.775375,4.28746,1481.0
22,-79.775375,4.28746,1481.0
23,-79.775375,4.28746,1481.0
23,-79.775375,4.28746,1481.0
24,-79.936981,4.602425,1350.0
24,-79.936981,4.602425,1350.0
25,-79.936981,4.602425,1350.0
25,-79.936981,4.602425,1350.0
26,-79.851455,5.650826,1584.0
26,-79.851455,5.650826,1584.0
27,-79.851455,5.650826,1584.0
27,-79.851455,5.650826,1584.0
