acquisition,CIR,FirstPathPL,maxNoise,RX_level,FPPL
0,258.0,47433.0,365.0,-88.040542,-100.094505
0,258.0,47433.0,365.0,-88.040542,-100.094505
1,258.0,47433.0,365.0,-88.040542,-100.094505
1,258.0,47433.0,365.0,-88.040542,-100.094505
2,258.0,47433.0,365.0,-88.040542,-100.094505
2,258.0,47433.0,365.0,-88.040542,-100.094505
3,258.0,47433.0,365.0,-88.040542,-100.094505
3,258.0,47433.0,365.0,-88.040542,-100.094505
4,258.0,47433.0,365.0,-88.040542,-100.094505
4,310.0,47570.0,421.0,-87.886344,-99.539199
5,310.0,47570.0,421.0,-87.886344,-99.539199
5,310.0,47570.0,421.0,-87.886344,-99.539199
6,310.0,47570.0,421.0,-87.886344,-99.539199
6,310.0,47570.0,421.0,-87.886344,-99.539199
7,310.0,47570.0,421.0,-87.886344,-99.539199
7,310.0,47570.0,421.0,-87.886344,-99.539199
8,310.0,47570.0,421.0,-87.886344,-99.539199
8,310.0,47570.0,421.0,-87.886344,-99.539199
9,310.0,47570.0,421.0,-87.886344,-99.539199
9,253.0,47239.0,422.0,-87.08892,-99.090637
10,253.0,47239.0,422.0,-87.08892,-99.090637
10,253.0,47239.0,422.0,-87.08892,-99.090637
11,253.0,47239.0,422.0,-87.08892,-99.090637
11,253.0,47239.0,422.0,-87.08892,-99.090637
12,253.0,47239.0,422.0,-87.08892,-99.090637
12,253.0,47239.0,422.0,-87.08892,-99.090637
13,253.0,47239.0,422.0,-87.08892,-99.090637
13,253.0,47239.0,422.0,-87.08892,-99.090637
14,326.0,47395.0,421.0,-87.971336,-99.419807
14,326.0,47395.0,421.0,-87.971336,-99.419807
15,326.0,47395.0,421.0,-87.971336,-99.419807
15,326.0,47395.0,421.0,-87.971336,-99.419807
16,326.0,47395.0,421.0,-87.971336,-99.419807
16,326.0,47395.0,421.0,-87.971336,-99.419807
17,326.0,47395.0,421.0,-87.971336,-99.419807
17,326.0,47395.0,421.0,-87.971336,-99.419807
18,326.0,47395.0,421.0,-87.971336,-99.419807
18,242.0,47564.0,419.0,-86.870361,-98.523185
19,242.0,47564.0,419.0,-86.870361,-98.523185
19,242.0,47564.0,419.0,-86.870361,-98.523185
20,242.0,47564.0,419.0,-86.870361,-98.523185
20,242.0,47564.0,419.0,-86.870361,-98.523185
21,242.0,47564.0,419.0,-86.870361,-98.523185
21,242.0,47564.0,419.0,-86.870361,-98.523185
