acquisition,RX_level,RX_difference,std_noise,PMR,SNR
0,-82.266639,2.894836,28.0,10.436259,-2.76664
0,-82.266639,2.894836,28.0,10.436259,-2.76664
1,-82.637397,3.13987,24.0,11.28541,-3.137398
1,-82.637397,3.13987,24.0,11.28541,-3.137398
2,-83.031768,3.244423,24.0,11.910615,-3.531769
2,-83.031768,3.244423,24.0,11.910615,-3.531769
3,-82.557708,3.004929,24.0,11.034073,-3.057709
3,-82.557708,3.004929,24.0,11.034073,-3.057709
4,-82.143783,3.124939,24.0,10.5871,-2.643784
4,-82.143783,3.124939,24.0,10.5871,-2.643784
5,-82.484306,2.971115,20.0,10.83302,-2.984306
5,-82.484306,2.971115,20.0,10.83302,-2.984306
6,-82.464942,2.878166,24.0,10.727802,-2.964943
6,-82.464942,2.878166,24.0,10.727802,-2.964943
7,-82.796089,3.373688,28.0,12.086302,-3.296089
7,-82.796089,3.373688,28.0,12.086302,-3.296089
8,-82.364662,2.786308,24.0,10.470014,-2.864662
8,-82.364662,2.786308,24.0,10.470014,-2.864662
9,-82.285141,3.008095,24.0,10.781476,-2.785141
9,-82.285141,3.008095,24.0,10.781476,-2.785141
10,-82.345817,2.942673,24.0,10.711626,-2.845818
10,-82.345817,2.942673,24.0,10.711626,-2.845818
11,-82.489166,2.756638,24.0,10.605403,-2.989166
11,-82.489166,2.756638,24.0,10.605403,-2.989166
12,-82.562652,2.77858,20.0,10.639088,-3.062653
12,-82.562652,2.77858,20.0,10.639088,-3.062653
13,-82.31771,2.963333,24.0,10.647653,-2.817711
13,-82.31771,2.963333,24.0,10.647653,-2.817711
14,-82.632377,3.694473,24.0,12.103983,-3.132378
14,-82.632377,3.694473,24.0,12.103983,-3.132378
15,-82.811759,3.340736,24.0,11.92419,-3.31176
15,-82.811759,3.340736,24.0,11.92419,-3.31176
16,-82.508636,3.022331,24.0,11.09016,-3.008636
16,-82.508636,3.022331,24.0,11.09016,-3.008636
17,-82.672729,4.107544,24.0,12.788374,-3.172729
17,-82.672729,4.107544,24.0,12.788374,-3.172729
18,-82.175308,3.228867,28.0,10.853453,-2.675308
18,-82.175308,3.228867,28.0,10.853453,-2.675308
19,-82.369384,2.963379,20.0,10.687822,-2.869385
19,-82.369384,2.963379,20.0,10.687822,-2.869385
20,-82.547851,3.471626,28.0,11.684058,-3.047852
20,-82.547851,3.471626,28.0,11.684058,-3.047852
21,-82.239036,3.496941,24.0,11.442601,-2.739037
21,-82.239036,3.496941,24.0,11.442601,-2.739037
22,-82.440856,3.024071,20.0,10.942275,-2.940857
22,-82.440856,3.024071,20.0,10.942275,-2.940857
23,-82.271263,3.042809,20.0,10.696138,-2.771263
23,-82.271263,3.042809,20.0,10.696138,-2.771263
24,-82.388328,3.118408,20.0,11.009841,-2.888329
24,-82.388328,3.118408,20.0,11.009841,-2.888329
25,-82.74942,3.369347,24.0,11.803819,-3.24942
25,-82.74942,3.369347,24.0,11.803819,-3.24942
26,-82.982513,3.33593,20.0,11.948479,-3.482513
26,-82.982513,3.33593,20.0,11.948479,-3.482513
27,-82.412124,2.909515,24.0,10.781076,-2.912125
27,-82.412124,2.909515,24.0,10.781076,-2.912125
28,-82.285141,3.112221,28.0,11.017542,-2.785141
28,-82.285141,3.112221,28.0,11.017542,-2.785141
29,-82.388328,2.914513,24.0,10.748726,-2.888329
29,-82.388328,2.914513,24.0,10.748726,-2.888329
30,-82.528198,3.032608,24.0,10.959015,-3.028198
30,-82.528198,3.032608,24.0,10.959015,-3.028198
31,-82.455291,3.032722,24.0,10.904394,-2.955292
31,-82.455291,3.032722,24.0,10.904394,-2.955292
32,-82.266639,3.152954,24.0,10.843987,-2.76664
32,-82.266639,3.152954,24.0,10.843987,-2.76664
33,-82.450469,3.366737,24.0,11.433419,-2.95047
33,-82.450469,3.366737,24.0,11.433419,-2.95047
34,-82.592399,3.258293,24.0,11.392505,-3.0924
34,-82.592399,3.258293,24.0,11.392505,-3.0924
35,-82.642433,3.42672,20.0,11.844124,-3.142433
35,-82.642433,3.42672,20.0,11.844124,-3.142433
36,-82.407356,3.400887,24.0,11.421557,-2.907356
36,-82.407356,3.400887,24.0,11.421557,-2.907356
37,-82.450469,3.306961,20.0,11.615999,-2.95047
37,-82.450469,3.306961,20.0,11.615999,-2.95047
38,-82.4169,3.329567,20.0,11.307855,-2.916901
38,-82.4169,3.329567,20.0,11.307855,-2.916901
39,-82.464942,3.036781,28.0,10.9961,-2.964943
39,-82.464942,3.036781,28.0,10.9961,-2.964943
40,-82.811759,3.223572,28.0,11.626551,-3.31176
40,-82.811759,3.223572,28.0,11.626551,-3.31176
41,-82.426467,2.726311,20.0,10.440184,-2.926468
41,-82.426467,2.726311,20.0,10.440184,-2.926468
42,-83.015289,3.390045,20.0,12.313376,-3.515289
42,-83.015289,3.390045,20.0,12.313376,-3.515289
43,-82.484306,2.803268,24.0,10.708296,-2.984306
43,-82.484306,2.803268,24.0,10.708296,-2.984306
44,-82.754577,2.9533,24.0,11.366701,-3.254578
44,-82.754577,2.9533,24.0,11.366701,-3.254578
45,-82.43605,2.638214,24.0,10.407317,-2.93605
45,-82.43605,2.638214,24.0,10.407317,-2.93605
46,-82.764915,3.041016,20.0,11.380666,-3.264915
46,-82.764915,3.041016,20.0,11.380666,-3.264915
47,-82.479461,2.739822,24.0,10.678274,-2.979462
47,-82.479461,2.739822,24.0,10.678274,-2.979462
48,-82.402587,2.822433,24.0,10.708038,-2.902588
48,-82.402587,2.822433,24.0,10.708038,-2.902588
49,-82.299072,2.9114,28.0,10.631244,-2.799072
49,-82.299072,2.9114,28.0,10.631244,-2.799072
50,-82.474617,2.752396,24.0,10.597778,-2.974617
50,-82.474617,2.752396,24.0,10.597778,-2.974617
51,-82.607345,2.804695,20.0,10.805264,-3.107346
51,-82.607345,2.804695,20.0,10.805264,-3.107346
52,-82.54293,2.59668,20.0,10.480185,-3.042931
52,-82.54293,2.59668,20.0,10.480185,-3.042931
53,-82.796089,2.780525,24.0,10.965859,-3.296089
53,-82.796089,2.780525,24.0,10.965859,-3.296089
54,-82.421676,2.985199,20.0,10.910319,-2.921677
54,-82.421676,2.985199,20.0,10.910319,-2.921677
55,-82.662605,2.71666,24.0,10.825525,-3.162605
55,-82.662605,2.71666,24.0,10.825525,-3.162605
56,-82.464942,2.746628,24.0,10.508934,-2.964943
56,-82.464942,2.746628,24.0,10.508934,-2.964943
57,-82.57254,2.712906,24.0,10.59293,-3.07254
57,-82.57254,2.712906,24.0,10.59293,-3.07254
58,-82.923049,2.99501,20.0,11.440227,-3.42305
58,-82.923049,2.99501,20.0,11.440227,-3.42305
59,-82.885635,3.242493,24.0,11.784007,-3.385635
59,-82.885635,3.242493,24.0,11.784007,-3.385635
60,-82.993408,3.235451,20.0,12.201344,-3.493408
60,-82.993408,3.235451,20.0,12.201344,-3.493408
61,-82.513519,3.050873,24.0,11.220197,-3.013519
61,-82.513519,3.050873,24.0,11.220197,-3.013519
62,-82.369384,2.782509,20.0,10.496819,-2.869385
62,-82.369384,2.782509,20.0,10.496819,-2.869385
63,-82.294425,2.994667,28.0,10.681444,-2.794426
63,-82.294425,2.994667,28.0,10.681444,-2.794426
64,-82.508636,3.34568,24.0,11.574422,-3.008636
64,-82.508636,3.34568,24.0,11.574422,-3.008636
65,-82.460113,2.802933,24.0,10.563596,-2.960114
65,-82.460113,2.802933,24.0,10.563596,-2.960114
66,-82.587425,2.621002,24.0,10.512249,-3.087425
66,-82.587425,2.621002,24.0,10.512249,-3.087425
67,-82.54293,2.54525,20.0,10.36905,-3.042931
67,-82.54293,2.54525,20.0,10.36905,-3.042931
68,-82.402587,2.64492,24.0,10.385084,-2.902588
68,-82.402587,2.64492,24.0,10.385084,-2.902588
69,-82.313041,3.106438,20.0,11.139708,-2.813042
69,-82.313041,3.106438,20.0,11.139708,-2.813042
70,-82.494026,2.803329,28.0,10.793086,-2.994026
70,-82.494026,2.803329,28.0,10.793086,-2.994026
71,-82.388328,2.785614,20.0,10.454905,-2.888329
71,-82.388328,2.785614,20.0,10.454905,-2.888329
72,-82.460113,2.907303,20.0,10.793265,-2.960114
72,-82.460113,2.907303,20.0,10.793265,-2.960114
73,-82.280509,2.731064,20.0,10.419451,-2.78051
73,-82.280509,2.731064,20.0,10.419451,-2.78051
74,-82.421676,2.733109,20.0,10.43793,-2.921677
74,-82.421676,2.733109,20.0,10.43793,-2.921677
75,-82.369384,2.597626,20.0,10.22512,-2.869385
75,-82.369384,2.597626,20.0,10.22512,-2.869385
76,-83.070472,2.847336,32.0,11.524705,-3.570473
76,-83.070472,2.847336,32.0,11.524705,-3.570473
77,-82.5233,2.40126,20.0,10.235433,-3.0233
77,-82.5233,2.40126,20.0,10.235433,-3.0233
78,-82.864402,2.950226,20.0,11.24829,-3.364403
78,-82.864402,2.950226,20.0,11.24829,-3.364403
79,-82.498893,2.696877,20.0,10.838126,-2.998894
79,-82.498893,2.696877,20.0,10.838126,-2.998894
80,-82.602355,2.471405,20.0,10.507332,-3.102356
80,-82.602355,2.471405,20.0,10.507332,-3.102356
81,-82.528198,2.628876,24.0,10.46846,-3.028198
81,-82.528198,2.628876,24.0,10.46846,-3.028198
82,-82.577499,2.680214,20.0,10.772779,-3.077499
82,-82.577499,2.680214,20.0,10.772779,-3.077499
83,-82.837997,3.097267,24.0,11.538148,-3.337997
83,-82.837997,3.097267,24.0,11.538148,-3.337997
84,-82.179824,2.791901,24.0,10.240604,-2.679825
84,-82.179824,2.791901,24.0,10.240604,-2.679825
85,-82.431259,2.630714,24.0,10.437206,-2.931259
85,-82.431259,2.630714,24.0,10.437206,-2.931259
86,-82.622345,2.999115,28.0,11.316962,-3.122345
86,-82.622345,2.999115,28.0,11.316962,-3.122345
87,-82.431259,2.729225,20.0,10.610504,-2.931259
87,-82.431259,2.729225,20.0,10.610504,-2.931259
88,-82.331741,2.515266,24.0,10.160949,-2.831741
88,-82.331741,2.515266,24.0,10.160949,-2.831741
