acquisition,RX_level,RX_difference,F2_std_noise,std_noise
0,-79.086631,3.80027,7.257,48.0
0,-79.086631,3.80027,7.257,48.0
0,-79.086631,3.80027,7.257,48.0
0,-79.086631,3.80027,7.257,48.0
1,-79.086631,3.80027,7.257,48.0
1,-79.086631,3.80027,7.257,48.0
1,-79.459472,5.099533,6.319,40.0
1,-79.459472,5.099533,6.319,40.0
2,-79.459472,5.099533,6.319,40.0
2,-79.459472,5.099533,6.319,40.0
2,-78.899856,5.728539,4.9790004,44.0
2,-78.899856,5.728539,4.9790004,44.0
3,-78.899856,5.728539,4.9790004,44.0
3,-78.899856,5.728539,4.9790004,44.0
3,-78.899856,5.728539,4.9790004,44.0
3,-79.215003,6.13224,4.59500008,44.0
4,-79.215003,6.13224,4.59500008,44.0
4,-79.215003,6.13224,4.59500008,44.0
4,-79.215003,6.13224,4.59500008,44.0
4,-79.196754,5.327881,5.90600036,52.0
5,-79.196754,5.327881,5.90600036,52.0
5,-79.196754,5.327881,5.90600036,52.0
5,-79.196754,5.327881,5.90600036,52.0
5,-79.196754,5.327881,5.90600036,52.0
6,-79.185386,5.500153,6.651999600000001,40.0
6,-79.185386,5.500153,6.651999600000001,40.0
6,-79.185386,5.500153,6.651999600000001,40.0
6,-79.185386,5.500153,6.651999600000001,40.0
7,-79.43296,5.7752,6.312000199999999,44.0
7,-79.43296,5.7752,6.312000199999999,44.0
7,-79.43296,5.7752,6.312000199999999,44.0
7,-79.43296,5.7752,6.312000199999999,44.0
8,-79.43296,5.7752,6.312000199999999,44.0
8,-79.108879,7.630989,3.322,44.0
8,-79.108879,7.630989,3.322,44.0
8,-79.108879,7.630989,3.322,44.0
9,-79.108879,7.630989,3.322,44.0
9,-79.437767,4.392822,6.8529996,40.0
9,-79.437767,4.392822,6.8529996,40.0
9,-79.437767,4.392822,6.8529996,40.0
10,-79.437767,4.392822,6.8529996,40.0
10,-79.437767,4.392822,6.8529996,40.0
10,-79.293418,4.716194,6.756,48.0
10,-79.293418,4.716194,6.756,48.0
11,-79.293418,4.716194,6.756,48.0
11,-79.293418,4.716194,6.756,48.0
11,-78.876533,3.524139,7.40200032,52.0
11,-78.876533,3.524139,7.40200032,52.0
12,-78.876533,3.524139,7.40200032,52.0
12,-78.876533,3.524139,7.40200032,52.0
12,-78.876533,3.524139,7.40200032,52.0
12,-78.953323,3.068596,7.49599972,44.0
13,-78.953323,3.068596,7.49599972,44.0
13,-78.953323,3.068596,7.49599972,44.0
13,-78.953323,3.068596,7.49599972,44.0
13,-79.408988,6.998924,3.73200016,56.0
14,-79.408988,6.998924,3.73200016,56.0
14,-79.408988,6.998924,3.73200016,56.0
14,-79.408988,6.998924,3.73200016,56.0
14,-79.408988,6.998924,3.73200016,56.0
15,-79.495903,5.792427,5.025000240000001,36.0
15,-79.495903,5.792427,5.025000240000001,36.0
15,-79.495903,5.792427,5.025000240000001,36.0
15,-79.495903,5.792427,5.025000240000001,36.0
16,-79.644729,5.608955,6.39600024,56.0
16,-79.644729,5.608955,6.39600024,56.0
16,-79.644729,5.608955,6.39600024,56.0
16,-79.644729,5.608955,6.39600024,56.0
17,-79.644729,5.608955,6.39600024,56.0
17,-79.279479,6.848068,4.897000639999999,56.0
17,-79.279479,6.848068,4.897000639999999,56.0
17,-79.279479,6.848068,4.897000639999999,56.0
18,-79.279479,6.848068,4.897000639999999,56.0
18,-79.04467,3.984871,7.040000160000001,48.0
18,-79.04467,3.984871,7.040000160000001,48.0
18,-79.04467,3.984871,7.040000160000001,48.0
19,-79.04467,3.984871,7.040000160000001,48.0
19,-79.04467,3.984871,7.040000160000001,48.0
19,-79.176315,4.219833,6.84400032,48.0
19,-79.176315,4.219833,6.84400032,48.0
20,-79.176315,4.219833,6.84400032,48.0
20,-79.176315,4.219833,6.84400032,48.0
20,-79.291091,4.977699,5.754000199999999,52.0
20,-79.291091,4.977699,5.754000199999999,52.0
21,-79.291091,4.977699,5.754000199999999,52.0
21,-79.291091,4.977699,5.754000199999999,52.0
21,-79.291091,4.977699,5.754000199999999,52.0
21,-79.652305,5.805634,5.69500032,48.0
22,-79.652305,5.805634,5.69500032,48.0
22,-79.652305,5.805634,5.69500032,48.0
22,-79.652305,5.805634,5.69500032,48.0
22,-79.340225,4.384171,5.87100008,44.0
23,-79.340225,4.384171,5.87100008,44.0
23,-79.340225,4.384171,5.87100008,44.0
23,-79.340225,4.384171,5.87100008,44.0
23,-79.340225,4.384171,5.87100008,44.0
24,-79.082191,3.153839,7.221,48.0
24,-79.082191,3.153839,7.221,48.0
24,-79.082191,3.153839,7.221,48.0
24,-79.082191,3.153839,7.221,48.0
25,-79.011825,3.268883,7.342999839999999,44.0
25,-79.011825,3.268883,7.342999839999999,44.0
25,-79.011825,3.268883,7.342999839999999,44.0
25,-79.011825,3.268883,7.342999839999999,44.0
26,-79.011825,3.268883,7.342999839999999,44.0
26,-79.52526,2.471733,7.39499992,44.0
26,-79.52526,2.471733,7.39499992,44.0
26,-79.52526,2.471733,7.39499992,44.0
27,-79.52526,2.471733,7.39499992,44.0
27,-79.249427,2.074272,7.74,48.0
27,-79.249427,2.074272,7.74,48.0
27,-79.249427,2.074272,7.74,48.0
28,-79.249427,2.074272,7.74,48.0
28,-79.249427,2.074272,7.74,48.0
28,-79.057876,3.003784,7.48100016,48.0
28,-79.057876,3.003784,7.48100016,48.0
29,-79.057876,3.003784,7.48100016,48.0
29,-79.057876,3.003784,7.48100016,48.0
29,-79.226448,3.990234,6.926999600000001,40.0
29,-79.226448,3.990234,6.926999600000001,40.0
30,-79.226448,3.990234,6.926999600000001,40.0
30,-79.226448,3.990234,6.926999600000001,40.0
30,-79.226448,3.990234,6.926999600000001,40.0
30,-79.265579,4.826973,5.542000319999999,48.0
31,-79.265579,4.826973,5.542000319999999,48.0
31,-79.265579,4.826973,5.542000319999999,48.0
31,-79.265579,4.826973,5.542000319999999,48.0
31,-79.469162,3.012108,7.3270002,52.0
32,-79.469162,3.012108,7.3270002,52.0
32,-79.469162,3.012108,7.3270002,52.0
32,-79.469162,3.012108,7.3270002,52.0
32,-79.469162,3.012108,7.3270002,52.0
33,-79.079978,3.325294,7.42199964,44.0
33,-79.079978,3.325294,7.42199964,44.0
33,-79.079978,3.325294,7.42199964,44.0
33,-79.079978,3.325294,7.42199964,44.0
34,-79.149215,4.325882,6.947000160000001,48.0
34,-79.149215,4.325882,6.947000160000001,48.0
34,-79.149215,4.325882,6.947000160000001,48.0
34,-79.149215,4.325882,6.947000160000001,48.0
35,-79.149215,4.325882,6.947000160000001,48.0
35,-78.676132,2.594734,7.70799936,48.0
35,-78.676132,2.594734,7.70799936,48.0
35,-78.676132,2.594734,7.70799936,48.0
36,-78.676132,2.594734,7.70799936,48.0
36,-78.765892,3.221474,7.4350001599999995,56.0
36,-78.765892,3.221474,7.4350001599999995,56.0
36,-78.765892,3.221474,7.4350001599999995,56.0
37,-78.765892,3.221474,7.4350001599999995,56.0
37,-78.765892,3.221474,7.4350001599999995,56.0
37,-79.120048,3.684364,7.38399992,44.0
37,-79.120048,3.684364,7.38399992,44.0
38,-79.120048,3.684364,7.38399992,44.0
38,-79.120048,3.684364,7.38399992,44.0
38,-79.288772,1.938904,7.56199972,44.0
38,-79.288772,1.938904,7.56199972,44.0
39,-79.288772,1.938904,7.56199972,44.0
39,-79.288772,1.938904,7.56199972,44.0
39,-79.288772,1.938904,7.56199972,44.0
39,-79.474006,2.822655,7.53199964,44.0
40,-79.474006,2.822655,7.53199964,44.0
40,-79.474006,2.822655,7.53199964,44.0
40,-79.474006,2.822655,7.53199964,44.0
40,-78.925437,3.035248,7.222999520000001,44.0
41,-78.925437,3.035248,7.222999520000001,44.0
41,-78.925437,3.035248,7.222999520000001,44.0
41,-78.925437,3.035248,7.222999520000001,44.0
41,-78.925437,3.035248,7.222999520000001,44.0
42,-79.340225,2.929489,7.01200032,52.0
42,-79.340225,2.929489,7.01200032,52.0
42,-79.340225,2.929489,7.01200032,52.0
42,-79.340225,2.929489,7.01200032,52.0
43,-79.077766,2.332306,7.46800032,48.0
43,-79.077766,2.332306,7.46800032,48.0
43,-79.077766,2.332306,7.46800032,48.0
43,-79.077766,2.332306,7.46800032,48.0
44,-79.077766,2.332306,7.46800032,48.0
44,-78.767951,4.798653,6.6010006400000005,52.0
44,-78.767951,4.798653,6.6010006400000005,52.0
44,-78.767951,4.798653,6.6010006400000005,52.0
45,-78.767951,4.798653,6.6010006400000005,52.0
45,-78.933998,3.810905,7.4680004,56.0
45,-78.933998,3.810905,7.4680004,56.0
45,-78.933998,3.810905,7.4680004,56.0
46,-78.933998,3.810905,7.4680004,56.0
46,-78.933998,3.810905,7.4680004,56.0
46,-79.20359,5.354172,6.75800016,48.0
46,-79.20359,5.354172,6.75800016,48.0
47,-79.20359,5.354172,6.75800016,48.0
47,-79.20359,5.354172,6.75800016,48.0
47,-78.861755,3.008659,7.574,56.0
47,-78.861755,3.008659,7.574,56.0
48,-78.861755,3.008659,7.574,56.0
48,-78.861755,3.008659,7.574,56.0
48,-78.861755,3.008659,7.574,56.0
48,-78.880767,3.050621,7.7190001200000005,52.0
49,-78.880767,3.050621,7.7190001200000005,52.0
49,-78.880767,3.050621,7.7190001200000005,52.0
49,-78.880767,3.050621,7.7190001200000005,52.0
49,-78.872306,3.548645,7.59800016,48.0
50,-78.872306,3.548645,7.59800016,48.0
50,-78.872306,3.548645,7.59800016,48.0
50,-78.872306,3.548645,7.59800016,48.0
50,-78.872306,3.548645,7.59800016,48.0
51,-79.72367,9.494965,4.10600032,32.0
51,-79.72367,9.494965,4.10600032,32.0
51,-79.72367,9.494965,4.10600032,32.0
51,-79.72367,9.494965,4.10600032,32.0
52,-79.48616,2.913872,7.22899996,28.0
52,-79.48616,2.913872,7.22899996,28.0
52,-79.48616,2.913872,7.22899996,28.0
52,-79.48616,2.913872,7.22899996,28.0
53,-79.48616,2.913872,7.22899996,28.0
53,-79.918128,9.974396,1.24199992,28.0
53,-79.918128,9.974396,1.24199992,28.0
53,-79.918128,9.974396,1.24199992,28.0
54,-79.918128,9.974396,1.24199992,28.0
54,-80.107635,15.828919,1.343,32.0
54,-80.107635,15.828919,1.343,32.0
54,-80.107635,15.828919,1.343,32.0
55,-80.107635,15.828919,1.343,32.0
55,-80.107635,15.828919,1.343,32.0
55,-79.888664,3.25119,6.026999720000001,28.0
55,-79.888664,3.25119,6.026999720000001,28.0
56,-79.888664,3.25119,6.026999720000001,28.0
