acquisition,RX_level,RX_difference
0,-80.836463,12.717438
0,-80.836463,12.717438
1,-80.836463,12.717438
1,-79.945083,3.536705
2,-79.945083,3.536705
2,-79.945083,3.536705
3,-79.945083,3.536705
3,-79.387527,3.361977
4,-79.387527,3.361977
4,-79.387527,3.361977
5,-79.387527,3.361977
5,-80.259033,2.94236
6,-80.259033,2.94236
6,-80.259033,2.94236
7,-80.259033,2.94236
7,-80.767288,4.213356
8,-80.767288,4.213356
8,-80.767288,4.213356
9,-80.767288,4.213356
9,-81.287399,9.403252
10,-81.287399,9.403252
10,-81.287399,9.403252
11,-81.287399,9.403252
11,-80.961082,14.932114
12,-80.961082,14.932114
12,-80.961082,14.932114
13,-80.961082,14.932114
13,-81.403121,17.042678
14,-81.403121,17.042678
14,-81.403121,17.042678
15,-81.403121,17.042678
15,-81.064819,14.225861
16,-81.064819,14.225861
16,-81.064819,14.225861
17,-81.064819,14.225861
17,-80.491905,11.246514
18,-80.491905,11.246514
18,-80.491905,11.246514
19,-80.491905,11.246514
19,-80.796798,14.072953
20,-80.796798,14.072953
20,-80.796798,14.072953
21,-80.796798,14.072953
21,-81.320678,10.925095
22,-81.320678,10.925095
22,-81.320678,10.925095
23,-81.320678,10.925095
23,-81.016098,9.437256
24,-81.016098,9.437256
24,-81.016098,9.437256
25,-81.016098,9.437256
25,-81.444931,13.131783
26,-81.444931,13.131783
26,-81.444931,13.131783
27,-81.444931,13.131783
27,-80.876487,14.090386
28,-80.876487,14.090386
28,-80.876487,14.090386
29,-80.876487,14.090386
29,-80.382873,12.774544
30,-80.382873,12.774544
30,-80.382873,12.774544
31,-80.382873,12.774544
31,-80.373909,10.478249
32,-80.373909,10.478249
32,-80.373909,10.478249
33,-80.373909,10.478249
33,-80.152786,5.488808
34,-80.152786,5.488808
34,-80.152786,5.488808
35,-80.152786,5.488808
35,-80.169837,4.996582
36,-80.169837,4.996582
36,-80.169837,4.996582
37,-80.169837,4.996582
37,-80.147117,2.934769
38,-80.147117,2.934769
38,-80.147117,2.934769
39,-80.147117,2.934769
39,-79.854103,2.389275
40,-79.854103,2.389275
40,-79.854103,2.389275
41,-79.854103,2.389275
41,-80.018714,4.655869
42,-80.018714,4.655869
42,-80.018714,4.655869
43,-80.018714,4.655869
43,-80.138626,3.248703
44,-80.138626,3.248703
44,-80.138626,3.248703
45,-80.138626,3.248703
45,-81.243423,7.574356
46,-81.243423,7.574356
46,-81.243423,7.574356
47,-81.243423,7.574356
47,-80.747726,12.508606
48,-80.747726,12.508606
48,-80.747726,12.508606
49,-80.747726,12.508606
49,-80.403862,9.961861
50,-80.403862,9.961861
50,-80.403862,9.961861
51,-80.403862,9.961861
51,-80.731491,8.977387
52,-80.731491,8.977387
52,-80.731491,8.977387
53,-80.731491,8.977387
53,-80.06295,7.481438
54,-80.06295,7.481438
54,-80.06295,7.481438
55,-80.06295,7.481438
55,-80.501113,6.958122
56,-80.501113,6.958122
56,-80.501113,6.958122
57,-80.501113,6.958122
57,-80.244522,6.553123
58,-80.244522,6.553123
58,-80.244522,6.553123
59,-80.244522,6.553123
59,-80.692771,5.970123
60,-80.692771,5.970123
60,-80.692771,5.970123
61,-80.692771,5.970123
61,-80.485778,6.995026
62,-80.485778,6.995026
62,-80.485778,6.995026
63,-80.485778,6.995026
63,-80.31462,7.623459
64,-80.31462,7.623459
64,-80.31462,7.623459
65,-80.31462,7.623459
65,-80.130149,9.456803
66,-80.130149,9.456803
66,-80.130149,9.456803
67,-80.130149,9.456803
67,-80.329368,10.891701
68,-80.329368,10.891701
68,-80.329368,10.891701
69,-80.329368,10.891701
69,-80.035247,11.375641
70,-80.035247,11.375641
70,-80.035247,11.375641
71,-80.035247,11.375641
71,-80.035247,12.121323
72,-80.035247,12.121323
72,-80.035247,12.121323
73,-80.035247,12.121323
73,-80.2882,11.42492
74,-80.2882,11.42492
74,-80.2882,11.42492
75,-80.2882,11.42492
75,-80.364959,11.431801
76,-80.364959,11.431801
76,-80.364959,11.431801
77,-80.364959,11.431801
77,-80.141456,12.011635
78,-80.141456,12.011635
78,-80.141456,12.011635
79,-80.141456,12.011635
79,-80.253219,12.641869
80,-80.253219,12.641869
80,-80.253219,12.641869
81,-80.253219,12.641869
81,-80.110443,13.687439
82,-80.110443,13.687439
82,-80.110443,13.687439
83,-80.110443,13.687439
83,-80.498046,13.095902
84,-80.498046,13.095902
84,-80.498046,13.095902
85,-80.498046,13.095902
85,-80.029731,12.489708
86,-80.029731,12.489708
86,-80.029731,12.489708
87,-80.029731,12.489708
87,-79.926193,10.297196
88,-79.926193,10.297196
88,-79.926193,10.297196
89,-79.926193,10.297196
89,-80.44918,7.652687
90,-80.44918,7.652687
90,-80.44918,7.652687
91,-80.44918,7.652687
91,-81.600471,10.273049
92,-81.600471,10.273049
92,-81.600471,10.273049
93,-81.600471,10.273049
93,-81.203491,12.699517
94,-81.203491,12.699517
94,-81.203491,12.699517
95,-81.203491,12.699517
95,-79.991302,9.649193
96,-79.991302,9.649193
96,-79.991302,9.649193
97,-79.991302,9.649193
97,-80.594314,8.819504
98,-80.594314,8.819504
98,-80.594314,8.819504
99,-80.594314,8.819504
99,-80.470489,5.173851
100,-80.470489,5.173851
100,-80.470489,5.173851
101,-80.470489,5.173851
101,-80.770561,5.632477
102,-80.770561,5.632477
102,-80.770561,5.632477
103,-80.770561,5.632477
103,-80.44918,3.024528
104,-80.44918,3.024528
104,-80.44918,3.024528
105,-80.44918,3.024528
105,-80.406867,3.113861
106,-80.406867,3.113861
106,-80.406867,3.113861
107,-80.406867,3.113861
107,-80.379882,3.569267
108,-80.379882,3.569267
108,-80.379882,3.569267
109,-80.379882,3.569267
109,-80.317565,3.574821
110,-80.317565,3.574821
110,-80.317565,3.574821
111,-80.317565,3.574821
111,-80.065727,2.0168
112,-80.065727,2.0168
112,-80.065727,2.0168
113,-80.065727,2.0168
113,-80.121696,4.12561
114,-80.121696,4.12561
114,-80.121696,4.12561
115,-80.121696,4.12561
115,-80.051849,5.704979
116,-80.051849,5.704979
116,-80.051849,5.704979
117,-80.051849,5.704979
117,-80.786941,8.563927
118,-80.786941,8.563927
118,-80.786941,8.563927
119,-80.786941,8.563927
119,-80.169837,6.67527
120,-80.169837,6.67527
120,-80.169837,6.67527
121,-80.169837,6.67527
121,-79.977653,5.353233
122,-79.977653,5.353233
122,-79.977653,5.353233
123,-79.977653,5.353233
123,-80.418914,6.200424
124,-80.418914,6.200424
124,-80.418914,6.200424
125,-80.418914,6.200424
125,-80.149948,6.154449
126,-80.149948,6.154449
126,-80.149948,6.154449
127,-80.149948,6.154449
127,-80.235839,6.505615
128,-80.235839,6.505615
128,-80.235839,6.505615
129,-80.235839,6.505615
129,-80.299919,6.308632
130,-80.299919,6.308632
130,-80.299919,6.308632
131,-80.299919,6.308632
131,-80.394851,7.25087
132,-80.394851,7.25087
132,-80.394851,7.25087
133,-80.394851,7.25087
133,-80.591178,8.242745
134,-80.591178,8.242745
134,-80.591178,8.242745
135,-80.591178,8.242745
135,-80.485778,7.541039
136,-80.485778,7.541039
136,-80.485778,7.541039
137,-80.485778,7.541039
137,-80.434021,8.210381
138,-80.434021,8.210381
138,-80.434021,8.210381
139,-80.434021,8.210381
139,-80.588043,5.087448
140,-80.588043,5.087448
140,-80.588043,5.087448
141,-80.588043,5.087448
141,-80.575515,2.931633
142,-80.575515,2.931633
142,-80.575515,2.931633
143,-80.575515,2.931633
143,-79.955917,4.53347
144,-79.955917,4.53347
144,-79.955917,4.53347
145,-79.955917,4.53347
145,-80.686355,8.265152
146,-80.686355,8.265152
146,-80.686355,8.265152
147,-80.686355,8.265152
