,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,deleteme,-0.46,0.16,10.06,0.00161,-0.00455,0.00014
1,deleteme,-0.46,0.16,10.06,0.00161,-0.00455,0.00014
2,deleteme,-0.46,0.16,10.06,0.00161,-0.00455,0.00014
3,deleteme,-0.46,0.16,10.06,0.00161,-0.00455,0.00014
4,deleteme,-0.46,0.16,10.06,0.00168,-0.00448,0.00014
5,deleteme,-0.46,0.16,10.06,0.00168,-0.00448,0.00014
6,deleteme,-0.46,0.16,10.06,0.00168,-0.00448,0.00014
7,deleteme,-0.46,0.16,10.06,0.00168,-0.00448,0.00014
8,deleteme,-0.46,0.16,10.06,0.00168,-0.00448,0.00014
9,deleteme,-0.42,0.16,9.98,0.00161,-0.00448,0.00014
10,deleteme,-0.42,0.16,9.98,0.00161,-0.00448,0.00014
11,deleteme,-0.42,0.16,9.98,0.00161,-0.00448,0.00014
12,deleteme,-0.42,0.16,9.98,0.00161,-0.00448,0.00014
13,deleteme,-0.42,0.16,9.98,0.00161,-0.00448,0.00014
14,deleteme,-0.5,0.12,9.95,0.00154,-0.00448,0.00014
15,deleteme,-0.5,0.12,9.95,0.00154,-0.00448,0.00014
16,deleteme,-0.5,0.12,9.95,0.00154,-0.00448,0.00014
17,deleteme,-0.5,0.12,9.95,0.00154,-0.00448,0.00014
18,deleteme,-0.5,0.12,9.95,0.00154,-0.00448,0.00014
19,deleteme,-0.46,0.08,10.02,0.00161,-0.00448,0.00014
20,deleteme,-0.46,0.08,10.02,0.00161,-0.00448,0.00014
21,deleteme,-0.46,0.08,10.02,0.00161,-0.00448,0.00014
22,deleteme,-0.46,0.08,10.02,0.00161,-0.00448,0.00014
23,deleteme,-0.42,0.16,10.02,0.00168,-0.00448,0.00014
24,deleteme,-0.42,0.16,10.02,0.00168,-0.00448,0.00014
25,deleteme,-0.42,0.16,10.02,0.00168,-0.00448,0.00014
26,deleteme,-0.42,0.16,10.02,0.00168,-0.00448,0.00014
27,deleteme,-0.42,0.16,10.02,0.00168,-0.00448,0.00014
28,deleteme,-0.46,0.16,9.98,0.00161,-0.00448,0.00014
29,deleteme,-0.46,0.16,9.98,0.00161,-0.00448,0.00014
30,deleteme,-0.46,0.16,9.98,0.00161,-0.00448,0.00014
31,deleteme,-0.46,0.16,9.98,0.00161,-0.00448,0.00014
32,deleteme,-0.46,0.16,9.98,0.00161,-0.00448,0.00014
33,deleteme,-0.54,0.12,9.75,0.00161,-0.00448,0.00014
34,deleteme,-0.54,0.12,9.75,0.00161,-0.00448,0.00014
35,deleteme,-0.54,0.12,9.75,0.00161,-0.00448,0.00014
36,deleteme,-0.54,0.12,9.75,0.00161,-0.00448,0.00014
37,deleteme,-0.54,0.12,9.75,0.00161,-0.00448,0.00014
38,deleteme,-0.46,0.16,10.02,0.00161,-0.00455,0.00014
39,deleteme,-0.46,0.16,10.02,0.00161,-0.00455,0.00014
