acquisition,RX_level,RX_difference,maxNoise
0,-80.370925,6.165344,1162.0
0,-80.370925,6.165344,1162.0
1,-80.370925,6.165344,1162.0
1,-80.370925,6.165344,1162.0
2,-80.350097,5.573746,1288.0
2,-80.350097,5.573746,1288.0
3,-80.350097,5.573746,1288.0
3,-80.350097,5.573746,1288.0
4,-80.412887,5.532967,1287.0
4,-80.412887,5.532967,1287.0
5,-80.412887,5.532967,1287.0
5,-80.412887,5.532967,1287.0
6,-80.305793,5.835945,1220.0
6,-80.305793,5.835945,1220.0
7,-80.305793,5.835945,1220.0
7,-80.305793,5.835945,1220.0
8,-80.424949,5.94397,1278.0
8,-80.424949,5.94397,1278.0
9,-80.424949,5.94397,1278.0
9,-80.424949,5.94397,1278.0
10,-80.296989,5.284927,1360.0
10,-80.296989,5.284927,1360.0
11,-80.296989,5.284927,1360.0
11,-80.296989,5.284927,1360.0
12,-80.394851,5.057198,1583.0
12,-80.394851,5.057198,1583.0
13,-80.394851,5.057198,1583.0
13,-80.394851,5.057198,1583.0
14,-80.501113,5.279182,1294.0
14,-80.501113,5.279182,1294.0
15,-80.501113,5.279182,1294.0
15,-80.501113,5.279182,1294.0
16,-80.434021,5.444679,1290.0
16,-80.434021,5.444679,1290.0
17,-80.434021,5.444679,1290.0
17,-80.434021,5.444679,1290.0
18,-80.430992,5.796158,1344.0
18,-80.430992,5.796158,1344.0
19,-80.430992,5.796158,1344.0
19,-80.430992,5.796158,1344.0
20,-80.479652,4.783638,1435.0
20,-80.479652,4.783638,1435.0
21,-80.479652,4.783638,1435.0
21,-80.479652,4.783638,1435.0
22,-80.42797,5.170357,1344.0
22,-80.42797,5.170357,1344.0
23,-80.42797,5.170357,1344.0
23,-80.42797,5.170357,1344.0
24,-80.394851,5.295448,1352.0
24,-80.394851,5.295448,1352.0
25,-80.394851,5.295448,1352.0
25,-80.394851,5.295448,1352.0
26,-80.600601,5.292267,1357.0
26,-80.600601,5.292267,1357.0
27,-80.600601,5.292267,1357.0
27,-80.600601,5.292267,1357.0
28,-80.588043,5.544357,1362.0
28,-80.588043,5.544357,1362.0
29,-80.588043,5.544357,1362.0
29,-80.588043,5.544357,1362.0
30,-80.553688,5.33548,1214.0
30,-80.553688,5.33548,1214.0
31,-80.553688,5.33548,1214.0
31,-80.553688,5.33548,1214.0
32,-80.39785,4.813171,1355.0
32,-80.39785,4.813171,1355.0
33,-80.39785,4.813171,1355.0
33,-80.39785,4.813171,1355.0
34,-80.616355,4.608559,1432.0
34,-80.616355,4.608559,1432.0
35,-80.616355,4.608559,1432.0
35,-80.616355,4.608559,1432.0
