acquisition,RX_level,RX_difference,maxNoise
0,-77.446479,3.719917,2021.0
0,-77.446479,3.719917,2021.0
1,-77.446479,3.719917,2021.0
1,-77.446479,3.719917,2021.0
2,-77.16809,3.65332,2121.0
2,-77.16809,3.65332,2121.0
3,-77.16809,3.65332,2121.0
3,-77.16809,3.65332,2121.0
4,-77.212547,4.69352,2219.0
4,-77.212547,4.69352,2219.0
5,-77.212547,4.69352,2219.0
5,-77.212547,4.69352,2219.0
6,-77.148162,4.265068,2040.0
6,-77.148162,4.265068,2040.0
7,-77.148162,4.265068,2040.0
7,-77.148162,4.265068,2040.0
8,-77.062385,3.833412,2227.0
8,-77.062385,3.833412,2227.0
9,-77.062385,3.833412,2227.0
9,-77.062385,3.833412,2227.0
10,-77.270591,4.975021,2130.0
10,-77.270591,4.975021,2130.0
11,-77.270591,4.975021,2130.0
11,-77.270591,4.975021,2130.0
12,-77.097335,4.611557,2536.0
12,-77.097335,4.611557,2536.0
13,-77.097335,4.611557,2536.0
13,-77.097335,4.611557,2536.0
14,-77.16381,3.813972,2546.0
14,-77.16381,3.813972,2546.0
15,-77.16381,3.813972,2546.0
15,-77.16381,3.813972,2546.0
16,-77.301376,3.563156,2344.0
16,-77.301376,3.563156,2344.0
17,-77.301376,3.563156,2344.0
17,-77.301376,3.563156,2344.0
18,-77.016677,4.382774,2543.0
18,-77.016677,4.382774,2543.0
19,-77.016677,4.382774,2543.0
19,-77.016677,4.382774,2543.0
20,-77.104362,4.197662,2440.0
20,-77.104362,4.197662,2440.0
21,-77.104362,4.197662,2440.0
21,-77.104362,4.197662,2440.0
22,-77.520111,3.461304,2430.0
22,-77.520111,3.461304,2430.0
23,-77.520111,3.461304,2430.0
23,-77.520111,3.461304,2430.0
24,-77.487747,4.43689,2618.0
24,-77.487747,4.43689,2618.0
25,-77.487747,4.43689,2618.0
25,-77.487747,4.43689,2618.0
26,-77.647277,3.842636,2619.0
26,-77.647277,3.842636,2619.0
27,-77.647277,3.842636,2619.0
27,-77.647277,3.842636,2619.0
28,-77.323501,4.836525,2420.0
28,-77.323501,4.836525,2420.0
29,-77.323501,4.836525,2420.0
29,-77.323501,4.836525,2420.0
30,-76.829261,4.121582,2324.0
30,-76.829261,4.121582,2324.0
31,-76.829261,4.121582,2324.0
31,-76.829261,4.121582,2324.0
32,-77.122673,3.81057,1720.0
32,-77.122673,3.81057,1720.0
33,-77.122673,3.81057,1720.0
33,-77.122673,3.81057,1720.0
34,-77.20391,5.099899,1420.0
34,-77.20391,5.099899,1420.0
35,-77.20391,5.099899,1420.0
35,-77.20391,5.099899,1420.0
36,-76.750793,4.253929,1517.0
36,-76.750793,4.253929,1517.0
37,-76.750793,4.253929,1517.0
37,-76.750793,4.253929,1517.0
38,-77.703399,3.733765,1175.0
38,-77.703399,3.733765,1175.0
39,-77.703399,3.733765,1175.0
39,-77.703399,3.733765,1175.0
40,-77.734176,4.30397,981.0
40,-77.734176,4.30397,981.0
41,-77.734176,4.30397,981.0
41,-77.734176,4.30397,981.0
42,-77.437362,3.726387,1315.0
42,-77.437362,3.726387,1315.0
43,-77.437362,3.726387,1315.0
43,-77.437362,3.726387,1315.0
44,-77.84613,3.277756,1823.0
44,-77.84613,3.277756,1823.0
45,-77.84613,3.277756,1823.0
45,-77.84613,3.277756,1823.0
46,-77.202468,4.596062,2120.0
46,-77.202468,4.596062,2120.0
47,-77.202468,4.596062,2120.0
47,-77.202468,4.596062,2120.0
48,-77.004295,3.96373,2613.0
48,-77.004295,3.96373,2613.0
49,-77.004295,3.96373,2613.0
49,-77.004295,3.96373,2613.0
50,-77.183815,4.169006,2429.0
50,-77.183815,4.169006,2429.0
51,-77.183815,4.169006,2429.0
51,-77.183815,4.169006,2429.0
52,-76.606758,4.638077,2827.0
52,-76.606758,4.638077,2827.0
53,-76.606758,4.638077,2827.0
53,-76.606758,4.638077,2827.0
54,-76.854408,4.176575,2902.0
54,-76.854408,4.176575,2902.0
55,-76.854408,4.176575,2902.0
55,-76.854408,4.176575,2902.0
56,-77.199592,4.154541,2815.0
56,-77.199592,4.154541,2815.0
57,-77.199592,4.154541,2815.0
57,-77.199592,4.154541,2815.0
58,-76.862373,4.816093,2839.0
58,-76.862373,4.816093,2839.0
59,-76.862373,4.816093,2839.0
59,-76.862373,4.816093,2839.0
60,-77.661644,3.986298,2727.0
60,-77.661644,3.986298,2727.0
61,-77.661644,3.986298,2727.0
61,-77.661644,3.986298,2727.0
62,-77.360626,3.796043,2842.0
62,-77.360626,3.796043,2842.0
63,-77.360626,3.796043,2842.0
63,-77.360626,3.796043,2842.0
64,-77.22409,5.049583,2448.0
64,-77.22409,5.049583,2448.0
65,-77.22409,5.049583,2448.0
65,-77.22409,5.049583,2448.0
66,-77.22409,4.31176,2554.0
66,-77.22409,4.31176,2554.0
67,-77.22409,4.31176,2554.0
67,-77.22409,4.31176,2554.0
68,-76.84645,4.096168,2545.0
68,-76.84645,4.096168,2545.0
69,-76.84645,4.096168,2545.0
69,-76.84645,4.096168,2545.0
70,-77.135398,4.644096,2737.0
70,-77.135398,4.644096,2737.0
71,-77.135398,4.644096,2737.0
71,-77.135398,4.644096,2737.0
72,-76.991943,4.61721,2248.0
72,-76.991943,4.61721,2248.0
73,-76.991943,4.61721,2248.0
73,-76.991943,4.61721,2248.0
74,-76.890388,4.139481,1856.0
74,-76.890388,4.139481,1856.0
75,-76.890388,4.139481,1856.0
75,-76.890388,4.139481,1856.0
76,-77.316108,4.643723,1741.0
76,-77.316108,4.643723,1741.0
77,-77.316108,4.643723,1741.0
77,-77.316108,4.643723,1741.0
78,-77.183815,3.872261,1539.0
78,-77.183815,3.872261,1539.0
79,-77.183815,3.872261,1539.0
79,-77.183815,3.872261,1539.0
80,-77.393562,3.798805,1633.0
80,-77.393562,3.798805,1633.0
