acquisition,RX_level,RX_difference,maxNoise
0,-77.437362,4.351707,2146.0
0,-77.437362,4.351707,2146.0
1,-77.437362,4.351707,2146.0
1,-77.437362,4.351707,2146.0
2,-77.615531,3.870613,2040.0
2,-77.615531,3.870613,2040.0
3,-77.615531,3.870613,2040.0
3,-77.615531,3.870613,2040.0
4,-77.481605,3.919189,2530.0
4,-77.481605,3.919189,2530.0
5,-77.481605,3.919189,2530.0
5,-77.481605,3.919189,2530.0
6,-77.526306,3.678246,2026.0
6,-77.526306,3.678246,2026.0
7,-77.526306,3.678246,2026.0
7,-77.526306,3.678246,2026.0
8,-77.43888,3.728447,2046.0
8,-77.43888,3.728447,2046.0
9,-77.43888,3.728447,2046.0
9,-77.43888,3.728447,2046.0
10,-77.540275,3.738098,2036.0
10,-77.540275,3.738098,2036.0
11,-77.540275,3.738098,2036.0
11,-77.540275,3.738098,2036.0
12,-77.535614,3.707085,1955.0
12,-77.535614,3.707085,1955.0
13,-77.535614,3.707085,1955.0
13,-77.535614,3.707085,1955.0
14,-77.737426,3.743576,2237.0
14,-77.737426,3.743576,2237.0
15,-77.737426,3.743576,2237.0
15,-77.737426,3.743576,2237.0
16,-77.33831,4.101105,2239.0
16,-77.33831,4.101105,2239.0
17,-77.33831,4.101105,2239.0
17,-77.33831,4.101105,2239.0
18,-77.513931,3.680412,2232.0
18,-77.513931,3.680412,2232.0
19,-77.513931,3.680412,2232.0
19,-77.513931,3.680412,2232.0
20,-77.407104,4.656219,2240.0
20,-77.407104,4.656219,2240.0
21,-77.407104,4.656219,2240.0
21,-77.407104,4.656219,2240.0
22,-77.541832,3.631287,2326.0
22,-77.541832,3.631287,2326.0
23,-77.541832,3.631287,2326.0
23,-77.541832,3.631287,2326.0
24,-77.467826,3.714394,2329.0
24,-77.467826,3.714394,2329.0
25,-77.467826,3.714394,2329.0
25,-77.467826,3.714394,2329.0
26,-77.569908,3.869392,2141.0
26,-77.569908,3.869392,2141.0
27,-77.569908,3.869392,2141.0
27,-77.569908,3.869392,2141.0
28,-77.216873,3.702194,2139.0
28,-77.216873,3.702194,2139.0
29,-77.216873,3.702194,2139.0
29,-77.216873,3.702194,2139.0
30,-77.5093,3.707008,2228.0
30,-77.5093,3.707008,2228.0
31,-77.5093,3.707008,2228.0
31,-77.5093,3.707008,2228.0
32,-77.43888,4.049805,2242.0
32,-77.43888,4.049805,2242.0
33,-77.43888,4.049805,2242.0
33,-77.43888,4.049805,2242.0
34,-77.735801,3.870766,2238.0
34,-77.735801,3.870766,2238.0
35,-77.735801,3.870766,2238.0
35,-77.735801,3.870766,2238.0
36,-77.390556,4.181847,2146.0
36,-77.390556,4.181847,2146.0
37,-77.390556,4.181847,2146.0
37,-77.390556,4.181847,2146.0
38,-77.319068,3.577393,2038.0
38,-77.319068,3.577393,2038.0
39,-77.319068,3.577393,2038.0
39,-77.319068,3.577393,2038.0
40,-77.435844,3.638992,2134.0
40,-77.435844,3.638992,2134.0
41,-77.435844,3.638992,2134.0
41,-77.435844,3.638992,2134.0
42,-77.574607,3.812737,2048.0
42,-77.574607,3.812737,2048.0
43,-77.574607,3.812737,2048.0
43,-77.574607,3.812737,2048.0
44,-77.332382,3.60347,2032.0
44,-77.332382,3.60347,2032.0
45,-77.332382,3.60347,2032.0
45,-77.332382,3.60347,2032.0
46,-77.440399,3.74733,1955.0
46,-77.440399,3.74733,1955.0
47,-77.440399,3.74733,1955.0
47,-77.440399,3.74733,1955.0
48,-77.750457,3.948799,1962.0
48,-77.750457,3.948799,1962.0
49,-77.750457,3.948799,1962.0
49,-77.750457,3.948799,1962.0
50,-77.668037,3.701042,2229.0
50,-77.668037,3.701042,2229.0
51,-77.668037,3.701042,2229.0
51,-77.668037,3.701042,2229.0
52,-77.413139,3.726006,2228.0
52,-77.413139,3.726006,2228.0
53,-77.413139,3.726006,2228.0
53,-77.413139,3.726006,2228.0
54,-77.423721,3.720474,2232.0
54,-77.423721,3.720474,2232.0
55,-77.423721,3.720474,2232.0
55,-77.423721,3.720474,2232.0
56,-77.333862,3.596031,2035.0
56,-77.333862,3.596031,2035.0
57,-77.333862,3.596031,2035.0
57,-77.333862,3.596031,2035.0
58,-77.548049,3.750931,2145.0
58,-77.548049,3.750931,2145.0
59,-77.548049,3.750931,2145.0
59,-77.548049,3.750931,2145.0
60,-77.617118,3.742409,2234.0
60,-77.617118,3.742409,2234.0
61,-77.617118,3.742409,2234.0
61,-77.617118,3.742409,2234.0
62,-77.288154,3.603035,2037.0
62,-77.288154,3.603035,2037.0
63,-77.288154,3.603035,2037.0
63,-77.288154,3.603035,2037.0
64,-77.569908,3.977745,2149.0
64,-77.569908,3.977745,2149.0
65,-77.569908,3.977745,2149.0
65,-77.569908,3.977745,2149.0
66,-77.836135,3.847282,1960.0
66,-77.836135,3.847282,1960.0
67,-77.836135,3.847282,1960.0
67,-77.836135,3.847282,1960.0
68,-77.894767,3.920868,2051.0
68,-77.894767,3.920868,2051.0
69,-77.894767,3.920868,2051.0
69,-77.894767,3.920868,2051.0
70,-77.33831,3.979202,2323.0
70,-77.33831,3.979202,2323.0
71,-77.33831,3.979202,2323.0
71,-77.33831,3.979202,2323.0
72,-77.308738,3.841896,2524.0
72,-77.308738,3.841896,2524.0
73,-77.308738,3.841896,2524.0
73,-77.308738,3.841896,2524.0
74,-77.658447,3.893875,2329.0
74,-77.658447,3.893875,2329.0
75,-77.658447,3.893875,2329.0
75,-77.658447,3.893875,2329.0
76,-77.574607,3.777008,2050.0
76,-77.574607,3.777008,2050.0
77,-77.574607,3.777008,2050.0
77,-77.574607,3.777008,2050.0
78,-77.628204,3.864822,2240.0
78,-77.628204,3.864822,2240.0
79,-77.628204,3.864822,2240.0
79,-77.628204,3.864822,2240.0
80,-77.677658,3.792519,1875.0
80,-77.677658,3.792519,1875.0
