acquisition,RX_level,RX_difference,maxNoise
0,-78.548805,2.816994,1230.0
0,-78.548805,2.816994,1230.0
1,-78.548805,2.816994,1230.0
1,-78.548805,2.816994,1230.0
2,-78.548805,2.816994,1230.0
2,-78.548805,2.816994,1230.0
3,-79.52526,1.753914,1667.0
3,-79.52526,1.753914,1667.0
4,-79.52526,1.753914,1667.0
4,-79.52526,1.753914,1667.0
5,-79.464317,1.951149,1490.0
5,-79.464317,1.951149,1490.0
6,-79.464317,1.951149,1490.0
6,-79.464317,1.951149,1490.0
7,-78.79277,2.058739,1823.0
7,-78.79277,2.058739,1823.0
8,-78.79277,2.058739,1823.0
8,-78.79277,2.058739,1823.0
9,-78.500061,2.229774,1122.0
9,-78.500061,2.229774,1122.0
10,-78.500061,2.229774,1122.0
10,-78.500061,2.229774,1122.0
11,-78.617973,2.195938,1510.0
11,-78.617973,2.195938,1510.0
12,-78.617973,2.195938,1510.0
12,-78.617973,2.195938,1510.0
13,-78.84703,2.587456,1371.0
13,-78.84703,2.587456,1371.0
14,-78.84703,2.587456,1371.0
14,-78.84703,2.587456,1371.0
15,-78.735084,2.709137,1453.0
15,-78.735084,2.709137,1453.0
16,-78.735084,2.709137,1453.0
16,-78.735084,2.709137,1453.0
17,-78.167976,2.751869,1415.0
17,-78.167976,2.751869,1415.0
18,-78.167976,2.751869,1415.0
18,-78.167976,2.751869,1415.0
19,-78.314094,3.330177,1019.0
19,-78.314094,3.330177,1019.0
20,-78.314094,3.330177,1019.0
20,-78.314094,3.330177,1019.0
21,-78.513649,2.461792,1509.0
21,-78.513649,2.461792,1509.0
22,-78.513649,2.461792,1509.0
22,-78.513649,2.461792,1509.0
23,-78.861755,2.376694,1358.0
23,-78.861755,2.376694,1358.0
24,-78.861755,2.376694,1358.0
24,-78.861755,2.376694,1358.0
25,-78.761772,2.774452,1549.0
25,-78.761772,2.774452,1549.0
26,-78.761772,2.774452,1549.0
26,-78.761772,2.774452,1549.0
27,-78.594131,2.590294,1119.0
27,-78.594131,2.590294,1119.0
28,-78.594131,2.590294,1119.0
28,-78.594131,2.590294,1119.0
29,-78.40039,2.523224,1419.0
29,-78.40039,2.523224,1419.0
30,-78.40039,2.523224,1419.0
30,-78.40039,2.523224,1419.0
31,-78.662025,2.569229,1266.0
31,-78.662025,2.569229,1266.0
32,-78.662025,2.569229,1266.0
32,-78.662025,2.569229,1266.0
33,-78.269737,2.842621,1220.0
33,-78.269737,2.842621,1220.0
34,-78.269737,2.842621,1220.0
34,-78.269737,2.842621,1220.0
35,-78.716705,2.65921,1466.0
35,-78.716705,2.65921,1466.0
36,-78.716705,2.65921,1466.0
36,-78.716705,2.65921,1466.0
37,-78.660011,3.262123,1675.0
37,-78.660011,3.262123,1675.0
38,-78.660011,3.262123,1675.0
38,-78.660011,3.262123,1675.0
39,-78.722824,6.430733,1776.0
39,-78.722824,6.430733,1776.0
40,-78.722824,6.430733,1776.0
40,-78.722824,6.430733,1776.0
41,-79.907386,11.246087,1909.0
41,-79.907386,11.246087,1909.0
42,-79.907386,11.246087,1909.0
42,-79.907386,11.246087,1909.0
43,-79.682746,7.997925,1717.0
43,-79.682746,7.997925,1717.0
44,-79.682746,7.997925,1717.0
44,-79.682746,7.997925,1717.0
45,-80.102027,13.536385,1435.0
45,-80.102027,13.536385,1435.0
46,-80.102027,13.536385,1435.0
