acquisition,RX_level,RX_difference
0,-78.688262,2.524811
0,-78.688262,2.524811
1,-78.688262,2.524811
1,-78.688262,2.524811
2,-78.700431,2.477303
2,-78.700431,2.477303
3,-78.700431,2.477303
3,-78.700431,2.477303
4,-78.674118,2.573433
4,-78.674118,2.573433
5,-78.674118,2.573433
5,-78.674118,2.573433
6,-78.780342,2.658173
6,-78.780342,2.658173
7,-78.780342,2.658173
7,-78.780342,2.658173
8,-78.623954,2.583618
8,-78.623954,2.583618
9,-78.623954,2.583618
9,-78.623954,2.583618
10,-78.872306,2.424744
10,-78.872306,2.424744
11,-78.872306,2.424744
11,-78.872306,2.424744
12,-78.674118,2.452805
12,-78.674118,2.452805
13,-78.674118,2.452805
13,-78.674118,2.452805
14,-78.645957,2.574478
14,-78.645957,2.574478
15,-78.645957,2.574478
15,-78.645957,2.574478
16,-78.680175,2.866226
16,-78.680175,2.866226
17,-78.680175,2.866226
17,-78.680175,2.866226
18,-78.552726,2.625847
18,-78.552726,2.625847
19,-78.552726,2.625847
19,-78.552726,2.625847
20,-78.621963,2.633011
20,-78.621963,2.633011
21,-78.621963,2.633011
21,-78.621963,2.633011
22,-78.720779,2.651192
22,-78.720779,2.651192
23,-78.720779,2.651192
23,-78.720779,2.651192
24,-78.743278,2.678902
24,-78.743278,2.678902
25,-78.743278,2.678902
25,-78.743278,2.678902
26,-78.743278,2.658066
26,-78.743278,2.658066
27,-78.743278,2.658066
27,-78.743278,2.658066
28,-78.761772,2.466125
28,-78.761772,2.466125
29,-78.761772,2.466125
29,-78.761772,2.466125
30,-78.651969,2.598274
30,-78.651969,2.598274
31,-78.651969,2.598274
31,-78.651969,2.598274
32,-78.552726,2.981926
32,-78.552726,2.981926
33,-78.552726,2.981926
33,-78.552726,2.981926
34,-78.604049,2.984093
34,-78.604049,2.984093
35,-78.604049,2.984093
35,-78.604049,2.984093
36,-78.747383,3.128487
36,-78.747383,3.128487
37,-78.747383,3.128487
37,-78.747383,3.128487
38,-78.855438,2.678757
38,-78.855438,2.678757
39,-78.855438,2.678757
39,-78.855438,2.678757
40,-78.566482,2.728233
40,-78.566482,2.728233
41,-78.566482,2.728233
41,-78.566482,2.728233
42,-78.807312,2.978958
42,-78.807312,2.978958
43,-78.807312,2.978958
43,-78.807312,2.978958
44,-78.751487,2.423714
44,-78.751487,2.423714
45,-78.751487,2.423714
45,-78.751487,2.423714
46,-78.919029,2.461266
46,-78.919029,2.461266
47,-78.919029,2.461266
47,-78.919029,2.461266
48,-78.670082,3.016655
48,-78.670082,3.016655
49,-78.670082,3.016655
49,-78.670082,3.016655
50,-78.688262,2.606232
50,-78.688262,2.606232
51,-78.688262,2.606232
51,-78.688262,2.606232
52,-78.529235,2.631142
52,-78.529235,2.631142
53,-78.529235,2.631142
53,-78.529235,2.631142
54,-78.674118,2.673668
54,-78.674118,2.673668
55,-78.674118,2.673668
55,-78.674118,2.673668
56,-78.706527,2.617264
56,-78.706527,2.617264
57,-78.706527,2.617264
57,-78.706527,2.617264
58,-78.668067,2.671768
58,-78.668067,2.671768
59,-78.668067,2.671768
59,-78.668067,2.671768
60,-78.463378,2.702942
60,-78.463378,2.702942
61,-78.463378,2.702942
61,-78.463378,2.702942
62,-78.586212,2.524979
62,-78.586212,2.524979
63,-78.586212,2.524979
63,-78.586212,2.524979
64,-78.743278,2.719429
64,-78.743278,2.719429
65,-78.743278,2.719429
65,-78.743278,2.719429
66,-78.782417,3.064308
66,-78.782417,3.064308
67,-78.782417,3.064308
67,-78.782417,3.064308
68,-78.790695,3.150726
68,-78.790695,3.150726
69,-78.790695,3.150726
69,-78.790695,3.150726
70,-78.82817,2.836632
70,-78.82817,2.836632
71,-78.82817,2.836632
71,-78.82817,2.836632
72,-78.676132,2.453438
72,-78.676132,2.453438
73,-78.676132,2.453438
73,-78.676132,2.453438
74,-78.794845,2.573647
74,-78.794845,2.573647
75,-78.794845,2.573647
75,-78.794845,2.573647
76,-78.540962,2.946861
76,-78.540962,2.946861
77,-78.540962,2.946861
77,-78.540962,2.946861
78,-78.75354,2.837929
78,-78.75354,2.837929
79,-78.75354,2.837929
79,-78.75354,2.837929
80,-78.647956,3.080009
80,-78.647956,3.080009
81,-78.647956,3.080009
81,-78.647956,3.080009
82,-78.790695,2.697701
82,-78.790695,2.697701
83,-78.790695,2.697701
83,-78.790695,2.697701
84,-78.861755,2.462395
84,-78.861755,2.462395
85,-78.861755,2.462395
85,-78.861755,2.462395
86,-78.680175,2.622215
86,-78.680175,2.622215
87,-78.680175,2.622215
87,-78.680175,2.622215
88,-78.637939,2.583122
88,-78.637939,2.583122
89,-78.637939,2.583122
89,-78.637939,2.583122
90,-78.537056,2.642487
90,-78.537056,2.642487
91,-78.537056,2.642487
91,-78.537056,2.642487
92,-78.674118,2.541748
92,-78.674118,2.541748
93,-78.674118,2.541748
93,-78.674118,2.541748
94,-78.794845,2.854332
94,-78.794845,2.854332
95,-78.794845,2.854332
95,-78.794845,2.854332
96,-78.660011,2.620262
96,-78.660011,2.620262
97,-78.660011,2.620262
97,-78.660011,2.620262
98,-78.696373,2.599319
98,-78.696373,2.599319
99,-78.696373,2.599319
99,-78.696373,2.599319
100,-78.714668,2.855507
100,-78.714668,2.855507
101,-78.714668,2.855507
101,-78.714668,2.855507
102,-78.778274,2.820335
