acquisition,RX_level,RX_difference,maxNoise
0,-79.380401,2.4903719999999936,2140.0
0,-79.380401,2.4903719999999936,2140.0
1,-79.215003,2.774169999999998,1968.0
1,-79.215003,2.774169999999998,1968.0
2,-79.520355,2.2013780000000054,1715.0
2,-79.520355,2.2013780000000054,1715.0
3,-79.235626,3.309463000000008,1854.0
3,-79.235626,3.309463000000008,1854.0
4,-79.316757,2.784095000000008,2139.0
4,-79.316757,2.784095000000008,2139.0
5,-79.394668,2.076676000000006,2066.0
5,-79.394668,2.076676000000006,2066.0
6,-79.053466,2.4178780000000017,1949.0
6,-79.053466,2.4178780000000017,1949.0
7,-79.47158,2.385452000000001,1708.0
7,-79.47158,2.385452000000001,1708.0
8,-79.288772,2.2733380000000096,1972.0
8,-79.288772,2.2733380000000096,1972.0
9,-79.356719,2.072700999999995,2153.0
9,-79.258651,2.304740999999993,2060.0
10,-79.258651,2.304740999999993,2060.0
10,-79.705719,1.5075829999999968,1972.0
11,-79.705719,1.5075829999999968,1972.0
11,-79.430557,2.29550900000001,1849.0
12,-79.430557,2.29550900000001,1849.0
12,-79.609542,1.5638739999999984,1874.0
13,-79.609542,1.5638739999999984,1874.0
13,-79.351997,2.201644999999999,1858.0
14,-79.351997,2.201644999999999,1858.0
14,-79.597045,1.8253860000000088,1787.0
15,-79.597045,1.8253860000000088,1787.0
15,-79.491027,2.410308999999998,1694.0
16,-79.491027,2.410308999999998,1694.0
16,-79.309745,2.071639999999988,1950.0
17,-79.309745,2.071639999999988,1950.0
17,-79.31208,2.2546609999999987,1783.0
18,-79.31208,2.2546609999999987,1783.0
18,-79.180847,2.7960199999999986,1870.0
19,-79.180847,2.7960199999999986,1870.0
19,-79.335517,1.9867180000000104,1777.0
20,-79.335517,1.9867180000000104,1777.0
20,-79.199028,2.352798000000007,2146.0
21,-79.199028,2.352798000000007,2146.0
21,-79.37091,2.442833000000008,1944.0
22,-79.37091,2.442833000000008,1944.0
22,-79.144714,1.9456330000000008,1849.0
23,-79.144714,1.9456330000000008,1849.0
23,-79.530174,1.7085799999999978,2151.0
24,-79.279479,2.18907200000001,2073.0
24,-79.279479,2.18907200000001,2073.0
25,-79.022743,2.8268959999999907,2050.0
