acquisition,RX_level,RX_difference,maxNoise
0,-78.394714,3.1171800000000047,1608.0
0,-78.394714,3.1171800000000047,1608.0
1,-79.644729,1.892516999999998,1339.0
1,-79.644729,1.892516999999998,1339.0
2,-79.31208,2.553688000000008,1641.0
2,-79.31208,2.553688000000008,1641.0
3,-78.355155,3.5688630000000074,2225.0
3,-78.355155,3.5688630000000074,2225.0
4,-78.328979,2.563437999999991,1846.0
4,-78.328979,2.563437999999991,1846.0
5,-78.515594,2.7557140000000118,2236.0
5,-78.515594,2.7557140000000118,2236.0
6,-79.675117,1.5340190000000007,1596.0
6,-79.690391,2.8998950000000008,1542.0
7,-79.690391,2.8998950000000008,1542.0
7,-78.535095,3.3530800000000056,1943.0
8,-78.535095,3.3530800000000056,1943.0
8,-79.759796,1.6222680000000054,1583.0
9,-79.759796,1.6222680000000054,1583.0
9,-79.449813,2.6924589999999995,1638.0
10,-79.449813,2.6924589999999995,1638.0
10,-78.492309,3.9670719999999875,1943.0
11,-78.492309,3.9670719999999875,1943.0
11,-79.476432,1.7406239999999968,1739.0
12,-79.476432,1.7406239999999968,1739.0
12,-79.582099,2.203995000000006,1741.0
13,-79.582099,2.203995000000006,1741.0
13,-79.767578,2.4936600000000055,1572.0
14,-79.767578,2.4936600000000055,1572.0
14,-79.56224,2.373351999999997,1636.0
15,-79.56224,2.373351999999997,1636.0
15,-79.59954,2.1057890000000015,1686.0
16,-79.59954,2.1057890000000015,1686.0
16,-78.562545,4.343361000000002,1951.0
17,-78.562545,4.343361000000002,1951.0
17,-79.880661,1.3175039999999996,1672.0
18,-79.880661,1.3175039999999996,1672.0
18,-79.363815,2.895622000000003,1742.0
19,-79.363815,2.895622000000003,1742.0
19,-78.295555,4.075004000000007,2225.0
20,-78.295555,4.075004000000007,2225.0
20,-78.381485,2.5671839999999975,1946.0
21,-78.381485,2.5671839999999975,1946.0
21,-79.378028,1.9800039999999939,1741.0
22,-79.907386,2.4091569999999933,1668.0
22,-79.907386,2.4091569999999933,1668.0
23,-78.724861,3.2117920000000026,1956.0
23,-78.724861,3.2117920000000026,1956.0
24,-79.464317,2.5990680000000026,1642.0
24,-79.464317,2.5990680000000026,1642.0
25,-78.615982,3.685928000000004,2052.0
25,-78.615982,3.685928000000004,2052.0
26,-79.569679,1.8379820000000109,1597.0
26,-79.569679,1.8379820000000109,1597.0
27,-78.552726,4.291503999999989,1873.0
27,-78.552726,4.291503999999989,1873.0
28,-79.569679,1.8020480000000134,1584.0
28,-79.569679,1.8020480000000134,1584.0
29,-79.286445,2.6654359999999997,1540.0
29,-79.286445,2.6654359999999997,1540.0
30,-79.622077,2.7356419999999986,1385.0
30,-79.622077,2.7356419999999986,1385.0
31,-79.483726,2.2645040000000023,1643.0
31,-79.483726,2.2645040000000023,1643.0
32,-78.570419,3.364402999999996,1864.0
32,-78.570419,3.364402999999996,1864.0
33,-80.038009,1.2996139999999912,1483.0
33,-80.038009,1.2996139999999912,1483.0
34,-79.870018,2.158728999999994,1676.0
34,-79.870018,2.158728999999994,1676.0
35,-79.780578,3.0065230000000014,1581.0
35,-79.780578,3.0065230000000014,1581.0
36,-79.594551,2.7494960000000077,1769.0
36,-79.594551,2.7494960000000077,1769.0
37,-78.461456,3.5811920000000015,1868.0
37,-78.461456,3.5811920000000015,1868.0
38,-79.698051,1.6611019999999996,1670.0
38,-79.698051,1.6611019999999996,1670.0
39,-79.677658,2.376213000000007,1584.0
39,-79.637168,2.8280110000000036,1490.0
40,-79.637168,2.8280110000000036,1490.0
40,-79.819808,1.923981000000012,1347.0
41,-79.819808,1.923981000000012,1347.0
41,-78.44802,3.592392000000004,1950.0
42,-78.44802,3.592392000000004,1950.0
42,-79.624588,1.852606999999992,1580.0
43,-79.624588,1.852606999999992,1580.0
43,-78.446105,4.005737999999994,1871.0
44,-78.446105,4.005737999999994,1871.0
44,-79.544944,1.8075259999999957,1638.0
45,-79.544944,1.8075259999999957,1638.0
45,-79.547409,2.777670999999998,1638.0
46,-79.547409,2.777670999999998,1638.0
46,-79.647254,1.9271930000000026,1646.0
47,-79.647254,1.9271930000000026,1646.0
47,-78.353279,3.9558859999999925,1873.0
48,-78.353279,3.9558859999999925,1873.0
48,-78.286315,3.0833669999999955,1796.0
49,-78.286315,3.0833669999999955,1796.0
49,-79.896675,2.526572999999999,1386.0
50,-79.896675,2.526572999999999,1386.0
50,-79.579612,2.4142460000000057,1511.0
51,-79.579612,2.4142460000000057,1511.0
51,-78.608024,4.300704999999994,1948.0
52,-78.608024,4.300704999999994,1948.0
52,-79.495903,1.760421000000008,1633.0
53,-79.495903,1.760421000000008,1633.0
53,-79.899353,2.5023109999999917,1488.0
54,-79.899353,2.5023109999999917,1488.0
54,-79.652305,2.778998999999999,1938.0
55,-79.652305,2.778998999999999,1938.0
55,-79.848808,1.9640649999999908,1385.0
56,-78.321533,3.9848479999999995,1781.0
56,-78.321533,3.9848479999999995,1781.0
57,-78.216743,3.584938000000008,1925.0
57,-78.216743,3.584938000000008,1925.0
58,-79.609542,1.1795959999999894,1544.0
58,-79.609542,1.1795959999999894,1544.0
59,-79.493461,2.133194000000003,1737.0
59,-79.493461,2.133194000000003,1737.0
60,-79.746864,2.576613999999992,1485.0
60,-79.746864,2.576613999999992,1485.0
61,-79.877998,1.9957959999999986,1489.0
61,-79.877998,1.9957959999999986,1489.0
62,-79.59954,2.745109999999997,1768.0
62,-79.59954,2.745109999999997,1768.0
63,-78.33271,3.7706680000000006,1774.0
63,-78.33271,3.7706680000000006,1774.0
64,-79.945083,1.5512540000000001,1419.0
64,-79.945083,1.5512540000000001,1419.0
65,-79.632133,2.6813740000000053,1383.0
65,-79.632133,2.6813740000000053,1383.0
66,-78.28263,3.4842840000000024,1610.0
66,-78.28263,3.4842840000000024,1610.0
67,-78.224014,3.2843090000000075,2019.0
67,-78.224014,3.2843090000000075,2019.0
68,-78.245903,2.9611349999999987,2016.0
68,-78.245903,2.9611349999999987,2016.0
69,-78.733039,2.2718359999999933,1864.0
69,-78.733039,2.2718359999999933,1864.0
70,-78.280784,3.4694829999999968,2045.0
70,-78.280784,3.4694829999999968,2045.0
71,-79.579612,1.438125999999997,1742.0
71,-79.579612,1.438125999999997,1742.0
72,-78.467224,4.077315999999996,2043.0
72,-79.274841,1.9770280000000042,1640.0
73,-79.274841,1.9770280000000042,1640.0
73,-78.60604,3.326684,1871.0
74,-78.60604,3.326684,1871.0
74,-79.759796,1.5910340000000076,1344.0
75,-79.759796,1.5910340000000076,1344.0
75,-79.577125,2.734451000000007,1673.0
76,-79.577125,2.734451000000007,1673.0
76,-79.904708,1.9695970000000074,1479.0
77,-79.904708,1.9695970000000074,1479.0
77,-79.728813,2.5220640000000003,1637.0
78,-79.728813,2.5220640000000003,1637.0
78,-78.494247,3.406791999999996,1752.0
79,-78.494247,3.406791999999996,1752.0
79,-79.577125,1.609566000000001,1542.0
80,-79.577125,1.609566000000001,1542.0
80,-78.832359,3.4530790000000025,1701.0
81,-78.832359,3.4530790000000025,1701.0
81,-78.486511,3.6889260000000093,2017.0
82,-78.486511,3.6889260000000093,2017.0
82,-78.535095,2.441032000000007,2018.0
83,-78.535095,2.441032000000007,2018.0
83,-79.838241,1.6638340000000085,1194.0
84,-79.838241,1.6638340000000085,1194.0
84,-78.389038,3.810951000000003,1790.0
85,-78.389038,3.810951000000003,1790.0
85,-78.207672,3.461913999999993,1940.0
86,-78.207672,3.461913999999993,1940.0
86,-78.455696,2.7300869999999975,1549.0
87,-78.455696,2.7300869999999975,1549.0
87,-78.434631,2.667572000000007,1962.0
88,-79.530174,2.1579969999999946,1389.0
88,-79.530174,2.1579969999999946,1389.0
89,-79.559768,2.8703689999999966,1574.0
89,-79.559768,2.8703689999999966,1574.0
90,-79.819808,2.3603060000000085,1417.0
90,-79.819808,2.3603060000000085,1417.0
91,-78.552726,3.557907,1487.0
91,-78.552726,3.557907,1487.0
92,-79.851455,1.7080079999999924,1487.0
92,-79.851455,1.7080079999999924,1487.0
93,-78.872306,3.167580000000001,1793.0
93,-78.872306,3.167580000000001,1793.0
94,-79.249427,2.3127290000000045,1444.0
94,-79.249427,2.3127290000000045,1444.0
95,-78.180564,3.69356599999999,1823.0
95,-78.180564,3.69356599999999,1823.0
96,-80.090827,1.6729210000000023,1152.0
96,-80.090827,1.6729210000000023,1152.0
97,-78.631942,3.619866000000002,1429.0
97,-78.631942,3.619866000000002,1429.0
98,-78.398498,3.2757259999999917,1941.0
98,-78.398498,3.2757259999999917,1941.0
99,-79.627098,1.763617999999994,1481.0
99,-79.627098,1.763617999999994,1481.0
100,-78.249565,3.568495999999996,1772.0
100,-78.249565,3.568495999999996,1772.0
101,-79.380401,2.028487999999996,1642.0
101,-79.380401,2.028487999999996,1642.0
102,-78.501998,3.2318810000000013,1677.0
102,-78.501998,3.2318810000000013,1677.0
103,-79.698051,1.8482059999999905,2149.0
103,-79.698051,1.8482059999999905,2149.0
104,-79.454643,3.1961900000000014,2031.0
104,-78.647956,4.001847000000012,2125.0
105,-78.647956,4.001847000000012,2125.0
105,-78.647956,4.001847000000012,2125.0
106,-78.737129,2.731361000000007,1790.0
106,-78.82608,2.9506609999999966,2156.0
107,-78.82608,2.9506609999999966,2156.0
107,-78.474929,3.540688000000003,2239.0
108,-78.474929,3.540688000000003,2239.0
108,-79.733963,1.6370390000000015,1398.0
109,-79.733963,1.6370390000000015,1398.0
109,-79.42575,2.70160700000001,1940.0
110,-79.42575,2.70160700000001,1940.0
110,-79.309745,3.414047999999994,2033.0
111,-79.309745,3.414047999999994,2033.0
111,-79.359085,2.5549239999999998,1661.0
112,-79.359085,2.5549239999999998,1661.0
112,-79.387527,2.674171000000001,1776.0
113,-79.387527,2.674171000000001,1776.0
113,-79.00093,3.847512000000009,1858.0
114,-79.00093,3.847512000000009,1858.0
114,-78.712631,3.8746110000000016,2060.0
115,-78.712631,3.8746110000000016,2060.0
115,-79.918128,2.44480200000001,1421.0
116,-79.918128,2.44480200000001,1421.0
116,-78.193191,4.246787999999995,2127.0
117,-78.193191,4.246787999999995,2127.0
117,-79.328475,2.9919359999999955,1740.0
118,-79.328475,2.9919359999999955,1740.0
118,-79.265579,3.0548319999999904,1756.0
119,-79.265579,3.0548319999999904,1756.0
119,-78.142906,4.2400360000000035,2339.0
120,-78.142906,4.2400360000000035,2339.0
120,-78.554687,2.8499070000000017,2249.0
121,-79.883331,1.9034800000000018,1780.0
121,-79.883331,1.9034800000000018,1780.0
122,-78.811477,3.65003200000001,2050.0
122,-78.811477,3.65003200000001,2050.0
123,-79.399436,2.312531000000007,1530.0
123,-79.399436,2.312531000000007,1530.0
124,-78.427001,3.6071170000000023,1789.0
124,-78.427001,3.6071170000000023,1789.0
125,-79.685295,1.809227000000007,1758.0
125,-79.685295,1.809227000000007,1758.0
126,-79.859397,2.2981340000000046,1592.0
126,-79.859397,2.2981340000000046,1592.0
127,-78.859649,3.216315999999992,2050.0
127,-78.859649,3.216315999999992,2050.0
128,-79.584587,2.187811999999994,1858.0
128,-79.584587,2.187811999999994,1858.0
