acquisition,RX_level,RX_difference
913,-82.503761,16.934516
913,-82.503761,16.934516
914,-82.503761,16.934516
914,-82.503761,16.934516
5,-79.469162,16.257118
6,-79.469162,16.257118
6,-79.469162,16.257118
6,-79.469162,16.257118
0,-79.380401,9.777115
0,-79.380401,9.777115
0,-79.380401,9.777115
0,-79.380401,9.777115
1,-79.235626,19.825958
1,-79.235626,19.825958
1,-79.235626,19.825958
1,-79.235626,19.825958
2,-79.235626,19.825958
2,-79.619567,10.996834
2,-79.619567,10.996834
2,-79.619567,10.996834
3,-79.619567,10.996834
3,-79.544944,13.691994
3,-79.544944,13.691994
3,-79.544944,13.691994
4,-79.544944,13.691994
4,-79.544944,13.691994
4,-79.133483,13.986924
4,-79.133483,13.986924
5,-79.133483,13.986924
5,-79.133483,13.986924
5,-79.469162,16.257118
6,-79.4066,14.684876
7,-79.4066,14.684876
7,-79.4066,14.684876
7,-79.4066,14.684876
7,-79.363815,15.545113
8,-79.363815,15.545113
8,-79.363815,15.545113
8,-79.363815,15.545113
8,-79.363815,15.545113
9,-79.461891,14.492211
9,-79.461891,14.492211
9,-79.461891,14.492211
9,-79.461891,14.492211
10,-79.382774,15.029664
10,-79.382774,15.029664
10,-79.382774,15.029664
10,-79.382774,15.029664
11,-79.382774,15.029664
11,-79.347282,15.185959
11,-79.347282,15.185959
11,-79.347282,15.185959
12,-79.347282,15.185959
12,-79.302742,15.420952
12,-79.302742,15.420952
12,-79.302742,15.420952
13,-79.302742,15.420952
13,-79.302742,15.420952
13,-79.423355,16.624595
13,-79.423355,16.624595
14,-79.423355,16.624595
14,-79.423355,16.624595
14,-79.430557,13.366387
14,-79.430557,13.366387
15,-79.430557,13.366387
15,-79.430557,13.366387
15,-79.430557,13.366387
15,-79.437767,12.114075
16,-79.437767,12.114075
16,-79.437767,12.114075
16,-79.437767,12.114075
16,-79.221862,10.135224
17,-79.221862,10.135224
17,-79.221862,10.135224
17,-79.221862,10.135224
17,-79.221862,10.135224
18,-79.337867,10.614876
18,-79.337867,10.614876
18,-79.337867,10.614876
18,-79.337867,10.614876
19,-79.522804,8.226441
19,-79.522804,8.226441
19,-79.522804,8.226441
19,-79.522804,8.226441
20,-79.522804,8.226441
20,-79.698051,4.292473
20,-79.698051,4.292473
20,-79.698051,4.292473
21,-79.698051,4.292473
21,-80.603744,11.072609
21,-80.603744,11.072609
21,-80.603744,11.072609
22,-80.603744,11.072609
22,-80.603744,11.072609
22,-80.866447,12.330407
22,-80.866447,12.330407
23,-80.866447,12.330407
23,-80.866447,12.330407
23,-81.700592,14.876938
23,-81.700592,14.876938
24,-81.700592,14.876938
24,-81.700592,14.876938
24,-81.700592,14.876938
24,-82.369384,8.054619
25,-82.369384,8.054619
25,-82.369384,8.054619
25,-82.369384,8.054619
25,-82.677803,9.101975
26,-82.677803,9.101975
26,-82.677803,9.101975
26,-82.677803,9.101975
26,-82.677803,9.101975
27,-83.064918,11.266098
27,-83.064918,11.266098
27,-83.064918,11.266098
27,-83.064918,11.266098
28,-82.723701,11.979043
28,-82.723701,11.979043
28,-82.723701,11.979043
28,-82.723701,11.979043
29,-82.723701,11.979043
29,-82.901634,15.233162
29,-82.901634,15.233162
29,-82.901634,15.233162
30,-82.901634,15.233162
