acquisition,RX_level,RX_difference
0,-79.192207,13.237397
0,-79.192207,13.237397
1,-79.192207,13.237397
1,-78.994407,16.355003
2,-78.994407,16.355003
2,-78.994407,16.355003
3,-79.04467,15.39457
3,-79.04467,15.39457
4,-79.04467,15.39457
4,-79.260963,14.212929
5,-79.260963,14.212929
5,-79.260963,14.212929
6,-79.228736,10.947083
6,-79.228736,10.947083
7,-79.228736,10.947083
7,-78.908363,9.355866
8,-78.908363,9.355866
8,-78.908363,9.355866
9,-78.944725,15.267563
9,-78.944725,15.267563
10,-78.944725,15.267563
10,-79.212715,14.66639
11,-79.212715,14.66639
11,-79.212715,14.66639
12,-79.016189,14.427025
12,-79.016189,14.427025
13,-79.016189,14.427025
13,-79.314422,14.27356
14,-79.314422,14.27356
14,-79.314422,14.27356
15,-79.185386,11.591706
15,-79.185386,11.591706
16,-79.185386,11.591706
16,-79.18766,9.36982
17,-79.18766,9.36982
17,-79.18766,9.36982
18,-79.128997,8.659279
18,-79.128997,8.659279
19,-79.128997,8.659279
19,-78.859649,10.136338
20,-78.859649,10.136338
20,-78.859649,10.136338
21,-78.933998,8.797135
21,-78.933998,8.797135
22,-78.933998,8.797135
22,-79.093292,15.806115
23,-79.093292,15.806115
23,-79.093292,15.806115
24,-79.242515,15.217408
24,-79.242515,15.217408
25,-79.242515,15.217408
25,-78.844932,15.403351
26,-78.844932,15.403351
26,-78.844932,15.403351
27,-79.274841,15.366173
27,-79.274841,15.366173
28,-79.274841,15.366173
28,-79.124519,15.731354
29,-79.124519,15.731354
29,-79.124519,15.731354
30,-79.394668,14.442887
30,-79.394668,14.442887
31,-79.394668,14.442887
31,-78.921165,13.616066
32,-78.921165,13.616066
32,-78.921165,13.616066
33,-79.108879,12.58532
33,-79.108879,12.58532
34,-79.108879,12.58532
34,-78.985733,12.122826
35,-78.985733,12.122826
35,-78.985733,12.122826
36,-79.602043,13.67923
36,-79.602043,13.67923
37,-79.602043,13.67923
37,-79.016189,12.034966
38,-79.016189,12.034966
38,-79.016189,12.034966
39,-79.18766,12.038804
39,-79.18766,12.038804
40,-79.18766,12.038804
40,-79.155975,10.787629
41,-79.155975,10.787629
41,-79.155975,10.787629
42,-79.217292,12.902947
42,-79.217292,12.902947
43,-79.217292,12.902947
43,-78.961944,13.226761
44,-78.961944,13.226761
44,-78.961944,13.226761
45,-79.126762,13.027802
45,-79.126762,13.027802
46,-79.126762,13.027802
46,-79.18312,12.968316
47,-79.18312,12.968316
47,-79.18312,12.968316
48,-79.169525,13.384346
48,-79.169525,13.384346
49,-79.169525,13.384346
49,-79.124519,14.239014
50,-79.124519,14.239014
50,-79.124519,14.239014
51,-79.160484,14.59121
51,-79.160484,14.59121
52,-79.160484,14.59121
52,-79.428154,14.537606
53,-79.428154,14.537606
53,-79.428154,14.537606
54,-79.351997,14.654755
54,-79.351997,14.654755
55,-79.351997,14.654755
55,-78.987899,15.384171
56,-78.987899,15.384171
56,-78.987899,15.384171
57,-79.033691,15.341034
57,-79.033691,15.341034
58,-79.033691,15.341034
58,-78.968414,15.849175
59,-78.968414,15.849175
59,-78.968414,15.849175
60,-79.340225,14.960618
60,-79.340225,14.960618
61,-79.340225,14.960618
61,-79.027122,9.653962
62,-79.027122,9.653962
62,-79.027122,9.653962
63,-78.882881,11.013199
63,-78.882881,11.013199
64,-78.882881,11.013199
64,-79.162742,12.747551
65,-79.162742,12.747551
65,-79.162742,12.747551
66,-79.31208,15.216713
66,-79.31208,15.216713
67,-79.31208,15.216713
67,-79.167266,14.952958
68,-79.167266,14.952958
68,-79.167266,14.952958
69,-79.233329,15.505372
69,-79.233329,15.505372
70,-79.233329,15.505372
70,-78.914764,15.916527
71,-78.914764,15.916527
71,-78.914764,15.916527
72,-79.086631,15.693505
72,-79.086631,15.693505
73,-79.086631,15.693505
73,-79.189933,10.471665
74,-79.189933,10.471665
74,-79.189933,10.471665
75,-79.205871,11.427704
75,-79.205871,11.427704
76,-79.205871,11.427704
76,-79.29808,13.596421
77,-79.29808,13.596421
77,-79.29808,13.596421
78,-79.176315,15.067063
78,-79.176315,15.067063
79,-79.176315,15.067063
79,-78.895607,15.346993
80,-78.895607,15.346993
80,-78.895607,15.346993
81,-78.97274,9.05539
81,-78.97274,9.05539
82,-78.97274,9.05539
82,-79.142471,9.997574
83,-79.142471,9.997574
83,-79.142471,9.997574
84,-79.024932,11.935944
84,-79.024932,11.935944
85,-79.024932,11.935944
85,-79.483726,13.133744
86,-79.483726,13.133744
86,-79.483726,13.133744
87,-79.014007,15.134423
87,-79.014007,15.134423
88,-79.014007,15.134423
88,-78.880767,15.375832
89,-78.880767,15.375832
89,-78.880767,15.375832
90,-78.908363,9.002678
90,-78.908363,9.002678
91,-78.908363,9.002678
91,-79.077766,10.227395
92,-79.077766,10.227395
92,-79.077766,10.227395
93,-79.20359,12.773858
93,-79.20359,12.773858
94,-79.20359,12.773858
94,-78.953323,14.975815
95,-78.953323,14.975815
95,-78.953323,14.975815
96,-79.020561,8.931885
96,-79.020561,8.931885
97,-79.020561,8.931885
97,-79.288772,10.864068
98,-79.288772,10.864068
98,-79.288772,10.864068
99,-79.240219,14.178147
99,-79.240219,14.178147
100,-79.240219,14.178147
100,-78.99224,15.343155
101,-78.99224,15.343155
