,acquisition,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
0,1,LOS,1923.0,47821.0,1383.0,-79.457061,-83.449836,2.6266
1,1,LOS,1837.0,47660.0,1444.0,-79.162742,-83.371719,2.551554
2,1,LOS,2023.0,48007.0,1644.0,-79.36145,-82.984718,2.570316
3,1,LOS,1886.0,47835.0,1599.0,-78.942581,-83.366256,2.6266
4,1,LOS,1973.0,47685.0,1472.0,-79.247123,-82.966926,2.589077
5,1,LOS,1972.0,48031.0,1694.0,-79.051269,-83.534774,2.589077
6,1,LOS,1977.0,47869.0,1806.0,-79.053466,-82.740425,2.570316
7,1,LOS,1919.0,47692.0,1459.0,-79.042472,-82.681976,2.570316
8,1,LOS,1832.0,48031.0,1561.0,-79.171791,-83.509262,2.607838
9,1,LOS,2011.0,47875.0,1537.0,-79.373283,-83.335128,2.514031
10,1,LOS,1888.0,47701.0,1708.0,-78.968414,-83.188468,2.589077
11,1,LOS,1881.0,48047.0,1377.0,-79.242515,-83.095542,2.570316
12,1,LOS,1934.0,47880.0,1449.0,-79.258651,-83.199867,2.532793
13,1,LOS,1980.0,47699.0,1442.0,-79.137977,-83.247894,2.607838
14,1,LOS,1811.0,48038.0,1321.0,-79.035888,-83.029899,2.589077
15,1,LOS,1805.0,47695.0,1457.0,-78.933998,-83.146751,2.570316
16,1,LOS,1850.0,48022.0,1712.0,-79.437767,-83.729911,2.570316
17,1,LOS,2015.0,47839.0,1632.0,-79.330818,-83.264366,2.551554
18,1,LOS,1817.0,47670.0,1530.0,-78.959785,-82.8152,2.532793
19,1,LOS,1929.0,48015.0,1626.0,-79.408988,-83.199882,2.551554
20,1,LOS,1936.0,47827.0,1524.0,-79.149215,-83.21215,2.607838
21,1,LOS,1787.0,47640.0,1466.0,-79.133483,-83.096031,2.589077
22,1,LOS,1954.0,47964.0,1618.0,-79.481292,-83.50032,2.589077
23,1,LOS,1960.0,47781.0,1534.0,-79.093292,-82.736274,2.532793
24,1,LOS,1960.0,48116.0,1373.0,-79.079978,-82.518783,2.570316
25,1,LOS,2031.0,47937.0,1525.0,-79.079978,-82.827346,2.570316
26,1,LOS,2063.0,47741.0,1529.0,-78.925437,-83.101715,2.607838
27,1,LOS,1994.0,48066.0,1507.0,-78.857543,-82.351799,2.607838
28,1,LOS,1987.0,47885.0,1447.0,-79.005287,-82.86901,2.607838
29,1,LOS,1798.0,47698.0,1640.0,-79.020561,-83.019966,2.6266
30,1,LOS,2003.0,48020.0,1530.0,-79.454643,-83.8199,2.607838
31,1,LOS,2009.0,47823.0,1691.0,-78.985733,-82.711128,2.6266
32,1,LOS,1997.0,47629.0,1690.0,-78.97274,-82.711578,2.589077
33,1,LOS,2006.0,47956.0,1877.0,-78.998756,-82.749076,2.607838
34,1,LOS,1943.0,47767.0,1872.0,-78.979232,-82.730201,2.607838
35,1,LOS,1977.0,48082.0,1712.0,-79.117813,-82.825492,2.589077
36,1,LOS,1974.0,47880.0,1596.0,-79.042472,-82.904228,2.6266
37,1,LOS,2052.0,47676.0,1534.0,-78.880767,-82.437156,2.607838
38,1,LOS,2067.0,48004.0,1530.0,-78.880767,-82.437156,2.570316
39,1,LOS,1842.0,47819.0,1620.0,-78.849136,-83.065055,2.589077
40,1,LOS,2086.0,47613.0,1688.0,-79.349639,-83.474327,2.589077
41,1,LOS,2008.0,47910.0,1692.0,-78.809394,-82.367393,2.589077
42,1,LOS,2040.0,47708.0,1690.0,-78.974899,-82.454917,2.551554
43,1,LOS,1896.0,48026.0,1702.0,-78.906234,-82.55484,2.551554
44,1,LOS,1889.0,47835.0,1688.0,-79.224151,-82.697509,2.551554
45,1,LOS,1913.0,47643.0,1879.0,-79.240219,-82.651733,2.570316
46,1,LOS,1924.0,47949.0,1525.0,-79.185386,-82.790664,2.551554
47,1,LOS,1999.0,47755.0,1692.0,-79.160484,-83.248069,2.645361
48,1,LOS,1971.0,48066.0,1447.0,-78.994407,-82.83171,2.589077
49,1,LOS,1939.0,47650.0,1622.0,-79.077766,-82.724449,2.570316
50,2,LOS,2001.0,47887.0,1709.0,-79.27716,-83.684135,2.589077
51,2,LOS,1846.0,48085.0,1630.0,-78.990066,-82.820129,2.570316
52,2,LOS,1998.0,47777.0,1447.0,-79.340225,-82.976501,2.570316
53,2,LOS,2060.0,47982.0,1884.0,-78.996582,-82.312088,2.551554
54,2,LOS,1860.0,47654.0,1479.0,-78.863868,-82.410896,2.570316
55,2,LOS,2043.0,47858.0,1621.0,-79.307411,-83.646278,2.607838
56,2,LOS,1987.0,48068.0,1617.0,-78.899856,-83.213867,2.570316
57,2,LOS,1946.0,47761.0,1533.0,-79.020561,-83.157768,2.607838
58,2,LOS,1818.0,47962.0,1568.0,-79.111106,-82.712478,2.6266
59,2,LOS,1961.0,47633.0,1550.0,-79.4066,-83.819351,2.607838
60,2,LOS,2018.0,47827.0,1554.0,-79.077766,-83.2705,2.607838
61,2,LOS,1986.0,48025.0,1614.0,-78.953323,-83.229049,2.589077
62,2,LOS,1961.0,47716.0,1723.0,-79.022743,-83.231246,2.6266
63,2,LOS,1985.0,47910.0,1699.0,-79.077766,-83.242141,2.607838
64,2,LOS,2010.0,48103.0,1790.0,-79.024932,-83.197296,2.589077
65,2,LOS,1947.0,47783.0,1704.0,-78.970581,-82.855224,2.532793
66,2,LOS,1957.0,47985.0,1620.0,-79.108879,-82.973342,2.570316
67,2,LOS,1855.0,47675.0,1340.0,-79.086631,-82.998939,2.589077
68,2,LOS,1858.0,47861.0,1262.0,-79.319099,-83.628761,2.6266
69,2,LOS,2077.0,48044.0,1621.0,-79.31208,-83.487503,2.589077
70,2,LOS,2139.0,47722.0,1712.0,-78.82817,-82.628425,2.607838
71,2,LOS,2046.0,47915.0,1617.0,-78.700431,-82.579399,2.607838
72,2,LOS,2075.0,48105.0,1708.0,-78.893486,-82.775695,2.589077
73,2,LOS,2009.0,47780.0,1624.0,-78.832359,-82.728355,2.607838
74,2,LOS,1830.0,47960.0,1561.0,-78.97274,-82.845893,2.607838
75,2,LOS,1917.0,47631.0,1647.0,-79.378028,-83.5326,2.6266
76,2,LOS,1990.0,47822.0,1618.0,-79.176315,-83.15419,2.607838
77,2,LOS,1870.0,48011.0,1553.0,-79.014007,-82.842521,2.6266
78,2,LOS,1962.0,47675.0,1468.0,-79.284126,-83.247573,2.6266
79,2,LOS,2001.0,47844.0,1708.0,-79.075546,-82.905197,2.589077
80,2,LOS,1922.0,48020.0,1632.0,-78.990066,-82.750236,2.570316
