,acquisition,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,1,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
1,1,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
2,1,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
3,1,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
4,1,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
5,1,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
6,1,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
7,1,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
8,1,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
9,1,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
10,1,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
11,1,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
12,1,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
13,1,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
14,1,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
15,1,wave,-1.86,-5.92,-7.44,0.01946,-0.02366,0.02653
16,1,wave,-1.86,-5.92,-7.44,0.01946,-0.02366,0.02653
17,1,wave,-1.86,-5.92,-7.44,0.01946,-0.02366,0.02653
18,1,wave,-1.86,-5.92,-7.44,0.01946,-0.02366,0.02653
19,1,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
20,1,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
21,1,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
22,1,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
23,1,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
24,1,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
25,1,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
26,1,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
27,1,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
28,1,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
29,1,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
30,1,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
31,1,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
32,1,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
33,1,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
34,1,wave,4.13,1.72,0.08,-0.01554,0.04326,0.1085
35,1,wave,4.13,1.72,0.08,-0.01554,0.04326,0.1085
36,1,wave,4.13,1.72,0.08,-0.01554,0.04326,0.1085
37,1,wave,4.13,1.72,0.08,-0.01554,0.04326,0.1085
38,1,wave,4.64,9.87,7.18,-0.00196,0.10661,0.20195
39,1,wave,4.64,9.87,7.18,-0.00196,0.10661,0.20195
40,2,still,-0.26,0.27,9.98,0.00161,-0.00448,0.00014
41,2,still,-0.26,0.27,9.98,0.00161,-0.00448,0.00014
42,2,still,-0.26,0.27,9.98,0.00161,-0.00448,0.00014
43,2,still,-0.26,0.27,9.98,0.00161,-0.00448,0.00014
44,2,still,-0.26,0.27,9.98,0.00161,-0.00448,0.00014
45,2,still,-0.3,0.16,9.98,0.00161,-0.00448,0.00014
46,2,still,-0.3,0.16,9.98,0.00161,-0.00448,0.00014
47,2,still,-0.3,0.16,9.98,0.00161,-0.00448,0.00014
48,2,still,-0.3,0.16,9.98,0.00161,-0.00448,0.00014
49,2,still,-0.3,0.16,9.98,0.00161,-0.00448,0.00014
50,2,still,-0.3,0.2,9.98,0.00161,-0.00448,0.00014
51,2,still,-0.3,0.2,9.98,0.00161,-0.00448,0.00014
52,2,still,-0.3,0.2,9.98,0.00161,-0.00448,0.00014
53,2,still,-0.3,0.2,9.98,0.00161,-0.00448,0.00014
54,2,still,-0.38,0.2,9.95,0.00161,-0.00441,0.00014
55,2,still,-0.38,0.2,9.95,0.00161,-0.00441,0.00014
56,2,still,-0.38,0.2,9.95,0.00161,-0.00441,0.00014
57,2,still,-0.38,0.2,9.95,0.00161,-0.00441,0.00014
58,2,still,-0.38,0.2,9.95,0.00161,-0.00441,0.00014
59,2,still,-0.3,0.23,9.95,0.00161,-0.00448,0.00014
60,2,still,-0.3,0.23,9.95,0.00161,-0.00448,0.00014
61,2,still,-0.3,0.23,9.95,0.00161,-0.00448,0.00014
62,2,still,-0.3,0.23,9.95,0.00161,-0.00448,0.00014
63,2,still,-0.3,0.23,9.95,0.00161,-0.00448,0.00014
64,2,still,-0.38,0.23,9.98,0.00161,-0.00448,0.00014
65,2,still,-0.38,0.23,9.98,0.00161,-0.00448,0.00014
66,2,still,-0.38,0.23,9.98,0.00161,-0.00448,0.00014
67,2,still,-0.38,0.23,9.98,0.00161,-0.00448,0.00014
68,2,still,-0.38,0.23,9.98,0.00161,-0.00448,0.00014
69,2,still,-0.26,0.2,9.98,0.00161,-0.00448,0.00021
70,2,still,-0.26,0.2,9.98,0.00161,-0.00448,0.00021
71,2,still,-0.26,0.2,9.98,0.00161,-0.00448,0.00021
72,2,still,-0.26,0.2,9.98,0.00161,-0.00448,0.00021
73,2,still,-0.38,0.23,10.02,0.00154,-0.00448,0.00014
74,2,still,-0.38,0.23,10.02,0.00154,-0.00448,0.00014
75,2,still,-0.38,0.23,10.02,0.00154,-0.00448,0.00014
76,2,still,-0.38,0.23,10.02,0.00154,-0.00448,0.00014
77,2,still,-0.38,0.23,10.02,0.00154,-0.00448,0.00014
78,2,still,-0.34,0.16,10.02,0.00161,-0.00448,0.00014
79,2,still,-0.34,0.16,10.02,0.00161,-0.00448,0.00014
80,3,still,-0.07,0.39,10.06,0.00161,-0.00448,0.00014
