acquisition,RX_level,RX_difference,F2_std_noise,std_noise
0,-78.446105,2.770393,7.715625,96.0
0,-78.446105,2.770393,7.715625,96.0
0,-78.446105,2.770393,7.715625,96.0
0,-78.446105,2.770393,7.715625,96.0
1,-78.56845,2.651306,12.521667,60.0
1,-78.56845,2.651306,12.521667,60.0
1,-78.56845,2.651306,12.521667,60.0
1,-78.56845,2.651306,12.521667,60.0
2,-78.56845,2.651306,12.521667,60.0
2,-78.878646,2.3181,15.99375,48.0
2,-78.878646,2.3181,15.99375,48.0
2,-78.878646,2.3181,15.99375,48.0
3,-78.878646,2.3181,15.99375,48.0
3,-78.79692,2.685616,13.046429,56.0
3,-78.79692,2.685616,13.046429,56.0
3,-78.79692,2.685616,13.046429,56.0
4,-78.79692,2.685616,13.046429,56.0
4,-78.79692,2.685616,13.046429,56.0
4,-78.625946,2.571884,12.768334,60.0
4,-78.625946,2.571884,12.768334,60.0
5,-78.625946,2.571884,12.768334,60.0
5,-78.625946,2.571884,12.768334,60.0
5,-78.761772,3.502075,13.9,52.0
5,-78.761772,3.502075,13.9,52.0
6,-78.761772,3.502075,13.9,52.0
6,-78.761772,3.502075,13.9,52.0
6,-78.761772,3.502075,13.9,52.0
6,-78.940437,2.296974,15.247917,48.0
7,-78.940437,2.296974,15.247917,48.0
7,-78.940437,2.296974,15.247917,48.0
7,-78.940437,2.296974,15.247917,48.0
7,-78.730995,2.366112,14.225001,52.0
8,-78.730995,2.366112,14.225001,52.0
8,-78.730995,2.366112,14.225001,52.0
8,-78.730995,2.366112,14.225001,52.0
8,-78.730995,2.366112,14.225001,52.0
9,-78.770019,2.379105,14.20577,52.0
9,-78.770019,2.379105,14.20577,52.0
9,-78.770019,2.379105,14.20577,52.0
9,-78.770019,2.379105,14.20577,52.0
10,-78.598098,2.322777,13.764287,56.0
10,-78.598098,2.322777,13.764287,56.0
10,-78.598098,2.322777,13.764287,56.0
10,-78.598098,2.322777,13.764287,56.0
11,-78.598098,2.322777,13.764287,56.0
11,-78.7556,2.447273,13.558929,56.0
11,-78.7556,2.447273,13.558929,56.0
11,-78.7556,2.447273,13.558929,56.0
12,-78.7556,2.447273,13.558929,56.0
12,-78.786552,2.322731,13.726786,56.0
12,-78.786552,2.322731,13.726786,56.0
12,-78.786552,2.322731,13.726786,56.0
13,-78.786552,2.322731,13.726786,56.0
13,-78.786552,2.322731,13.726786,56.0
13,-78.79692,2.461952,14.646154,52.0
13,-78.79692,2.461952,14.646154,52.0
14,-78.79692,2.461952,14.646154,52.0
14,-78.79692,2.461952,14.646154,52.0
14,-78.678154,2.4683,13.733929,56.0
14,-78.678154,2.4683,13.733929,56.0
15,-78.678154,2.4683,13.733929,56.0
15,-78.678154,2.4683,13.733929,56.0
15,-78.678154,2.4683,13.733929,56.0
15,-78.560585,2.747627,14.188462,52.0
16,-78.560585,2.747627,14.188462,52.0
16,-78.560585,2.747627,14.188462,52.0
16,-78.560585,2.747627,14.188462,52.0
16,-78.798996,2.879341,14.45,52.0
17,-78.798996,2.879341,14.45,52.0
17,-78.798996,2.879341,14.45,52.0
17,-78.798996,2.879341,14.45,52.0
17,-78.798996,2.879341,14.45,52.0
18,-78.763832,2.801842,12.944644,56.0
18,-78.763832,2.801842,12.944644,56.0
18,-78.763832,2.801842,12.944644,56.0
18,-78.763832,2.801842,12.944644,56.0
19,-78.392822,2.713379,12.726667,60.0
19,-78.392822,2.713379,12.726667,60.0
19,-78.392822,2.713379,12.726667,60.0
19,-78.392822,2.713379,12.726667,60.0
20,-78.392822,2.713379,12.726667,60.0
