acquisition,RX_level,RX_difference,std_noise,PMR,SNR
0,-79.249427,3.320969,48.0,7.828868,0.250572
0,-79.249427,3.320969,48.0,7.828868,0.250572
1,-78.608024,3.253616,48.0,7.17234,0.891975
1,-78.608024,3.253616,48.0,7.17234,0.891975
2,-78.904106,3.500374,52.0,7.680998,0.595894
2,-78.904106,3.500374,52.0,7.680998,0.595894
3,-78.936141,3.368065,60.0,7.588012,0.563858
3,-78.936141,3.368065,60.0,7.588012,0.563858
4,-78.895607,3.304085,52.0,7.601813,0.604393
4,-78.895607,3.304085,52.0,7.601813,0.604393
5,-78.74533,3.111328,48.0,7.130242,0.754669
5,-78.74533,3.111328,48.0,7.130242,0.754669
6,-78.815643,3.069527,48.0,7.248969,0.684357
6,-78.815643,3.069527,48.0,7.248969,0.684357
7,-79.347282,3.77211,52.0,8.97163,0.152718
7,-79.347282,3.77211,52.0,8.97163,0.152718
8,-79.077766,3.676582,44.0,8.41914,0.422234
8,-79.077766,3.676582,44.0,8.41914,0.422234
9,-79.064498,3.989021,52.0,8.719134,0.435501
9,-79.064498,3.989021,52.0,8.719134,0.435501
10,-78.602066,3.185005,52.0,7.084165,0.897934
10,-78.602066,3.185005,52.0,7.084165,0.897934
11,-78.767951,3.662643,52.0,7.847661,0.732048
11,-78.767951,3.662643,52.0,7.847661,0.732048
12,-78.870193,3.596916,52.0,7.82603,0.629807
12,-78.870193,3.596916,52.0,7.82603,0.629807
13,-78.861755,3.522751,48.0,7.793083,0.638245
13,-78.861755,3.522751,48.0,7.793083,0.638245
14,-78.887115,3.42762,48.0,7.656191,0.612885
14,-78.887115,3.42762,48.0,7.656191,0.612885
15,-78.970581,3.480164,60.0,7.888858,0.529419
15,-78.970581,3.480164,60.0,7.888858,0.529419
16,-78.849136,3.934837,44.0,8.852761,0.650864
16,-78.849136,3.934837,44.0,8.852761,0.650864
17,-78.590171,3.025604,44.0,6.93683,0.909828
17,-78.590171,3.025604,44.0,6.93683,0.909828
18,-78.564514,3.300369,48.0,7.160521,0.935486
18,-78.564514,3.300369,48.0,7.160521,0.935486
19,-78.631942,3.276108,44.0,7.1665,0.868057
19,-78.631942,3.276108,44.0,7.1665,0.868057
20,-79.011825,3.38356,48.0,7.778577,0.488174
20,-79.011825,3.38356,48.0,7.778577,0.488174
21,-78.660011,3.137382,40.0,7.054086,0.839989
21,-78.660011,3.137382,40.0,7.054086,0.839989
22,-79.106651,3.565338,48.0,8.168297,0.393349
22,-79.106651,3.565338,48.0,8.168297,0.393349
23,-79.035888,3.136543,40.0,7.6923,0.464111
23,-79.035888,3.136543,40.0,7.6923,0.464111
24,-78.678154,3.373512,52.0,7.485347,0.821846
24,-78.678154,3.373512,52.0,7.485347,0.821846
25,-78.617973,3.294151,40.0,7.19448,0.882027
25,-78.617973,3.294151,40.0,7.19448,0.882027
26,-78.842834,3.077698,48.0,7.246266,0.657166
26,-78.842834,3.077698,48.0,7.246266,0.657166
27,-79.003112,3.981094,44.0,8.923134,0.496887
27,-79.003112,3.981094,44.0,8.923134,0.496887
28,-79.066703,3.991577,48.0,8.908712,0.433296
28,-79.066703,3.991577,48.0,8.908712,0.433296
29,-78.672096,3.608933,60.0,7.962755,0.827904
29,-78.672096,3.608933,60.0,7.962755,0.827904
30,-78.690292,3.260529,36.0,7.246442,0.809708
30,-78.690292,3.260529,36.0,7.246442,0.809708
31,-78.957634,3.409721,52.0,7.82717,0.542366
31,-78.957634,3.409721,52.0,7.82717,0.542366
32,-78.784484,3.494133,52.0,7.708871,0.715515
32,-78.784484,3.494133,52.0,7.708871,0.715515
33,-78.735084,4.212097,44.0,8.93907,0.764915
33,-78.735084,4.212097,44.0,8.93907,0.764915
34,-78.849136,3.984947,44.0,8.906617,0.650864
34,-78.849136,3.984947,44.0,8.906617,0.650864
35,-78.832359,3.296913,44.0,7.432229,0.667641
35,-78.832359,3.296913,44.0,7.432229,0.667641
36,-79.19448,3.722656,44.0,8.626218,0.305519
36,-79.19448,3.722656,44.0,8.626218,0.305519
37,-78.676132,3.564835,48.0,7.607335,0.823868
37,-78.676132,3.564835,48.0,7.607335,0.823868
38,-78.649963,3.709412,44.0,7.691085,0.850037
38,-78.649963,3.709412,44.0,7.691085,0.850037
39,-78.782417,3.440033,44.0,7.662741,0.717583
39,-78.782417,3.440033,44.0,7.662741,0.717583
40,-78.838638,3.522453,56.0,7.705943,0.661362
40,-78.838638,3.522453,56.0,7.705943,0.661362
41,-78.940437,3.630898,60.0,8.413953,0.559563
41,-78.940437,3.630898,60.0,8.413953,0.559563
42,-78.767951,3.176445,48.0,7.311987,0.732048
42,-78.767951,3.176445,48.0,7.311987,0.732048
43,-78.774147,3.322876,44.0,7.399742,0.725853
43,-78.774147,3.322876,44.0,7.399742,0.725853
44,-78.631942,3.35257,44.0,7.341493,0.868057
44,-78.631942,3.35257,44.0,7.341493,0.868057
45,-79.038078,3.516479,48.0,7.99151,0.461922
45,-79.038078,3.516479,48.0,7.99151,0.461922
46,-78.82817,3.446632,48.0,7.704367,0.671829
46,-78.82817,3.446632,48.0,7.704367,0.671829
47,-78.550766,3.393578,40.0,7.215656,0.949234
47,-78.550766,3.393578,40.0,7.215656,0.949234
48,-78.751487,3.142479,44.0,7.179112,0.748512
48,-78.751487,3.142479,44.0,7.179112,0.748512
49,-78.467224,3.270927,40.0,7.065062,1.032776
49,-78.467224,3.270927,40.0,7.065062,1.032776
50,-78.694343,4.144432,48.0,8.842954,0.805656
50,-78.694343,4.144432,48.0,8.842954,0.805656
51,-78.513649,3.46328,48.0,7.304222,0.986351
51,-78.513649,3.46328,48.0,7.304222,0.986351
52,-78.708557,3.276215,40.0,7.279872,0.791443
52,-78.708557,3.276215,40.0,7.279872,0.791443
53,-78.906234,3.282661,44.0,7.561181,0.593765
53,-78.906234,3.282661,44.0,7.561181,0.593765
54,-79.300407,3.637962,48.0,8.598463,0.199593
