acquisition,RX_level,RX_difference,F2_std_noise,std_noise
0,-78.65599,3.735588,11.592188,64.0
0,-78.65599,3.735588,11.592188,64.0
0,-78.65599,3.735588,11.592188,64.0
0,-78.65599,3.735588,11.592188,64.0
1,-78.735084,3.424606,12.492188,64.0
1,-78.735084,3.424606,12.492188,64.0
1,-78.735084,3.424606,12.492188,64.0
1,-78.735084,3.424606,12.492188,64.0
2,-78.735084,3.424606,12.492188,64.0
2,-79.342575,3.762482,13.494232,52.0
2,-79.342575,3.762482,13.494232,52.0
2,-79.342575,3.762482,13.494232,52.0
3,-79.342575,3.762482,13.494232,52.0
3,-79.316757,3.210236,12.284376,64.0
3,-79.316757,3.210236,12.284376,64.0
3,-79.316757,3.210236,12.284376,64.0
4,-79.316757,3.210236,12.284376,64.0
4,-79.316757,3.210236,12.284376,64.0
4,-79.435363,3.547195,10.471876,64.0
4,-79.435363,3.547195,10.471876,64.0
5,-79.435363,3.547195,10.471876,64.0
5,-79.435363,3.547195,10.471876,64.0
5,-79.237922,3.040558,10.301389,72.0
5,-79.237922,3.040558,10.301389,72.0
6,-79.237922,3.040558,10.301389,72.0
6,-79.237922,3.040558,10.301389,72.0
6,-79.237922,3.040558,10.301389,72.0
6,-79.171791,3.051849,12.329688,64.0
7,-79.171791,3.051849,12.329688,64.0
7,-79.171791,3.051849,12.329688,64.0
7,-79.171791,3.051849,12.329688,64.0
7,-79.060081,3.087616,12.598215,56.0
8,-79.060081,3.087616,12.598215,56.0
8,-79.060081,3.087616,12.598215,56.0
8,-79.060081,3.087616,12.598215,56.0
8,-79.060081,3.087616,12.598215,56.0
9,-79.167266,2.685905,11.726471,68.0
9,-79.167266,2.685905,11.726471,68.0
9,-79.167266,2.685905,11.726471,68.0
9,-79.167266,2.685905,11.726471,68.0
10,-79.108879,3.918388,10.335938,64.0
10,-79.108879,3.918388,10.335938,64.0
10,-79.108879,3.918388,10.335938,64.0
10,-79.108879,3.918388,10.335938,64.0
11,-79.108879,3.918388,10.335938,64.0
11,-79.584587,3.49836,12.201667,60.0
11,-79.584587,3.49836,12.201667,60.0
11,-79.584587,3.49836,12.201667,60.0
12,-79.584587,3.49836,12.201667,60.0
12,-79.644729,3.392349,11.638334,60.0
12,-79.644729,3.392349,11.638334,60.0
12,-79.644729,3.392349,11.638334,60.0
13,-79.644729,3.392349,11.638334,60.0
13,-79.644729,3.392349,11.638334,60.0
13,-78.996582,3.648552,11.057353,68.0
13,-78.996582,3.648552,11.057353,68.0
14,-78.996582,3.648552,11.057353,68.0
14,-78.996582,3.648552,11.057353,68.0
14,-79.033691,3.803879,13.536539,52.0
14,-79.033691,3.803879,13.536539,52.0
15,-79.033691,3.803879,13.536539,52.0
15,-79.033691,3.803879,13.536539,52.0
15,-79.033691,3.803879,13.536539,52.0
15,-79.284126,3.442673,11.404688,64.0
16,-79.284126,3.442673,11.404688,64.0
16,-79.284126,3.442673,11.404688,64.0
16,-79.284126,3.442673,11.404688,64.0
16,-79.416168,2.870193,11.286766,68.0
17,-79.416168,2.870193,11.286766,68.0
17,-79.416168,2.870193,11.286766,68.0
17,-79.416168,2.870193,11.286766,68.0
17,-79.416168,2.870193,11.286766,68.0
18,-79.035888,2.859344,12.013334,60.0
18,-79.035888,2.859344,12.013334,60.0
18,-79.035888,2.859344,12.013334,60.0
18,-79.035888,2.859344,12.013334,60.0
19,-79.13124,3.643562,12.792858,56.0
19,-79.13124,3.643562,12.792858,56.0
19,-79.13124,3.643562,12.792858,56.0
19,-79.13124,3.643562,12.792858,56.0
20,-79.13124,3.643562,12.792858,56.0
20,-79.597045,2.647148,12.935001,60.0
20,-79.597045,2.647148,12.935001,60.0
20,-79.597045,2.647148,12.935001,60.0
21,-79.597045,2.647148,12.935001,60.0
21,-79.111106,2.431381,10.668056,72.0
21,-79.111106,2.431381,10.668056,72.0
21,-79.111106,2.431381,10.668056,72.0
22,-79.111106,2.431381,10.668056,72.0
22,-79.111106,2.431381,10.668056,72.0
22,-79.323783,2.994034,12.104688,64.0
22,-79.323783,2.994034,12.104688,64.0
23,-79.323783,2.994034,12.104688,64.0
23,-79.323783,2.994034,12.104688,64.0
23,-78.953323,2.906342,14.217309,52.0
23,-78.953323,2.906342,14.217309,52.0
24,-78.953323,2.906342,14.217309,52.0
24,-78.953323,2.906342,14.217309,52.0
24,-78.953323,2.906342,14.217309,52.0
24,-79.474006,3.206924,11.453125,64.0
25,-79.474006,3.206924,11.453125,64.0
25,-79.474006,3.206924,11.453125,64.0
25,-79.474006,3.206924,11.453125,64.0
25,-79.302742,2.260216,12.896667,60.0
26,-79.302742,2.260216,12.896667,60.0
26,-79.302742,2.260216,12.896667,60.0
26,-79.302742,2.260216,12.896667,60.0
26,-79.302742,2.260216,12.896667,60.0
27,-79.19448,2.978172,12.866667,60.0
27,-79.19448,2.978172,12.866667,60.0
27,-79.19448,2.978172,12.866667,60.0
27,-79.19448,2.978172,12.866667,60.0
28,-79.513,2.192993,12.526667,60.0
28,-79.513,2.192993,12.526667,60.0
28,-79.513,2.192993,12.526667,60.0
28,-79.513,2.192993,12.526667,60.0
29,-79.513,2.192993,12.526667,60.0
29,-79.321441,2.292946,12.660938,64.0
29,-79.321441,2.292946,12.660938,64.0
29,-79.321441,2.292946,12.660938,64.0
30,-79.321441,2.292946,12.660938,64.0
30,-79.387527,2.448677,15.298077,52.0
30,-79.387527,2.448677,15.298077,52.0
30,-79.387527,2.448677,15.298077,52.0
31,-79.387527,2.448677,15.298077,52.0
31,-79.387527,2.448677,15.298077,52.0
31,-79.307411,3.108551,14.84375,48.0
31,-79.307411,3.108551,14.84375,48.0
32,-79.307411,3.108551,14.84375,48.0
32,-79.307411,3.108551,14.84375,48.0
32,-79.082191,2.766708,13.181667,60.0
32,-79.082191,2.766708,13.181667,60.0
33,-79.082191,2.766708,13.181667,60.0
33,-79.082191,2.766708,13.181667,60.0
33,-79.082191,2.766708,13.181667,60.0
33,-79.265579,2.874245,11.186765,68.0
34,-79.265579,2.874245,11.186765,68.0
34,-79.265579,2.874245,11.186765,68.0
34,-79.265579,2.874245,11.186765,68.0
34,-79.133483,3.262115,13.442857,56.0
35,-79.133483,3.262115,13.442857,56.0
35,-79.133483,3.262115,13.442857,56.0
35,-79.133483,3.262115,13.442857,56.0
35,-79.133483,3.262115,13.442857,56.0
36,-79.111106,2.996796,11.785295,68.0
36,-79.111106,2.996796,11.785295,68.0
36,-79.111106,2.996796,11.785295,68.0
36,-79.111106,2.996796,11.785295,68.0
37,-79.247123,3.602455,10.184722,72.0
37,-79.247123,3.602455,10.184722,72.0
37,-79.247123,3.602455,10.184722,72.0
37,-79.247123,3.602455,10.184722,72.0
38,-79.247123,3.602455,10.184722,72.0
38,-79.158233,3.571068,10.5875,64.0
38,-79.158233,3.571068,10.5875,64.0
38,-79.158233,3.571068,10.5875,64.0
39,-79.158233,3.571068,10.5875,64.0
39,-79.378028,2.451233,11.370313,64.0
39,-79.378028,2.451233,11.370313,64.0
39,-79.378028,2.451233,11.370313,64.0
40,-79.378028,2.451233,11.370313,64.0
40,-79.378028,2.451233,11.370313,64.0
40,-79.201309,2.781761,12.946429,56.0
40,-79.201309,2.781761,12.946429,56.0
41,-79.201309,2.781761,12.946429,56.0
41,-79.201309,2.781761,12.946429,56.0
41,-79.675117,2.671547,11.959376,64.0
41,-79.675117,2.671547,11.959376,64.0
42,-79.675117,2.671547,11.959376,64.0
42,-79.675117,2.671547,11.959376,64.0
42,-79.675117,2.671547,11.959376,64.0
42,-79.363815,2.735687,12.128126,64.0
43,-79.363815,2.735687,12.128126,64.0
43,-79.363815,2.735687,12.128126,64.0
43,-79.363815,2.735687,12.128126,64.0
43,-79.617057,3.567032,13.328846,52.0
44,-79.617057,3.567032,13.328846,52.0
44,-79.617057,3.567032,13.328846,52.0
44,-79.617057,3.567032,13.328846,52.0
44,-79.617057,3.567032,13.328846,52.0
45,-79.843521,3.264816,11.463334,60.0
