acquisition,RX_level,RX_difference,F2_std_noise,std_noise
0,-77.750457,3.496361,8.005435,92.0
0,-77.750457,3.496361,8.005435,92.0
0,-77.750457,3.496361,8.005435,92.0
0,-77.750457,3.496361,8.005435,92.0
1,-77.420692,3.437439,8.825,88.0
1,-77.420692,3.437439,8.825,88.0
1,-77.420692,3.437439,8.825,88.0
1,-77.420692,3.437439,8.825,88.0
2,-77.420692,3.437439,8.825,88.0
2,-77.590301,3.542084,6.928571,112.0
2,-77.590301,3.542084,6.928571,112.0
2,-77.590301,3.542084,6.928571,112.0
3,-77.590301,3.542084,6.928571,112.0
3,-77.652061,3.176941,7.456731,104.0
3,-77.652061,3.176941,7.456731,104.0
3,-77.652061,3.176941,7.456731,104.0
4,-77.652061,3.176941,7.456731,104.0
4,-77.652061,3.176941,7.456731,104.0
4,-77.658447,3.349777,8.675001,88.0
4,-77.658447,3.349777,8.675001,88.0
5,-77.658447,3.349777,8.675001,88.0
5,-77.658447,3.349777,8.675001,88.0
5,-78.218559,3.23793,8.607143,84.0
5,-78.218559,3.23793,8.607143,84.0
6,-78.218559,3.23793,8.607143,84.0
6,-78.218559,3.23793,8.607143,84.0
6,-78.218559,3.23793,8.607143,84.0
6,-78.310379,2.969254,8.300001,88.0
7,-78.310379,2.969254,8.300001,88.0
7,-78.310379,2.969254,8.300001,88.0
7,-78.310379,2.969254,8.300001,88.0
7,-78.233123,3.763382,7.032692,104.0
8,-78.233123,3.763382,7.032692,104.0
8,-78.233123,3.763382,7.032692,104.0
8,-78.233123,3.763382,7.032692,104.0
8,-78.233123,3.763382,7.032692,104.0
9,-78.017929,3.65361,7.197115,104.0
9,-78.017929,3.65361,7.197115,104.0
9,-78.017929,3.65361,7.197115,104.0
9,-78.017929,3.65361,7.197115,104.0
10,-78.056274,3.177811,6.567241,116.0
10,-78.056274,3.177811,6.567241,116.0
10,-78.056274,3.177811,6.567241,116.0
10,-78.056274,3.177811,6.567241,116.0
11,-78.056274,3.177811,6.567241,116.0
11,-78.058021,3.195793,8.464774,88.0
11,-78.058021,3.195793,8.464774,88.0
11,-78.058021,3.195793,8.464774,88.0
12,-78.058021,3.195793,8.464774,88.0
12,-78.016197,3.469192,7.171154,104.0
12,-78.016197,3.469192,7.171154,104.0
12,-78.016197,3.469192,7.171154,104.0
13,-78.016197,3.469192,7.171154,104.0
13,-78.016197,3.469192,7.171154,104.0
13,-77.544937,3.260956,8.139584,96.0
13,-77.544937,3.260956,8.139584,96.0
14,-77.544937,3.260956,8.139584,96.0
14,-77.544937,3.260956,8.139584,96.0
14,-77.918441,3.718361,6.546552,116.0
14,-77.918441,3.718361,6.546552,116.0
15,-77.918441,3.718361,6.546552,116.0
15,-77.918441,3.718361,6.546552,116.0
15,-77.918441,3.718361,6.546552,116.0
15,-77.950782,3.454895,9.0125,80.0
16,-77.950782,3.454895,9.0125,80.0
16,-77.950782,3.454895,9.0125,80.0
16,-77.950782,3.454895,9.0125,80.0
16,-77.532508,3.277519,7.478846,104.0
17,-77.532508,3.277519,7.478846,104.0
17,-77.532508,3.277519,7.478846,104.0
17,-77.532508,3.277519,7.478846,104.0
17,-77.532508,3.277519,7.478846,104.0
18,-77.568344,3.265274,7.171296,108.0
18,-77.568344,3.265274,7.171296,108.0
18,-77.568344,3.265274,7.171296,108.0
18,-77.568344,3.265274,7.171296,108.0
19,-77.871215,3.497551,6.334483,116.0
19,-77.871215,3.497551,6.334483,116.0
19,-77.871215,3.497551,6.334483,116.0
19,-77.871215,3.497551,6.334483,116.0
20,-77.871215,3.497551,6.334483,116.0
20,-77.77008,3.920898,6.667857,112.0
20,-77.77008,3.920898,6.667857,112.0
20,-77.77008,3.920898,6.667857,112.0
21,-77.77008,3.920898,6.667857,112.0
21,-78.016197,3.163338,7.985869,92.0
21,-78.016197,3.163338,7.985869,92.0
21,-78.016197,3.163338,7.985869,92.0
22,-78.016197,3.163338,7.985869,92.0
22,-78.016197,3.163338,7.985869,92.0
22,-77.811248,3.909561,7.128846,104.0
22,-77.811248,3.909561,7.128846,104.0
23,-77.811248,3.909561,7.128846,104.0
