acquisition,RX_level,RX_difference,F2_std_noise,std_noise
0,-76.982368,4.61351,6.773148,108.0
0,-76.982368,4.61351,6.773148,108.0
0,-76.982368,4.61351,6.773148,108.0
0,-76.982368,4.61351,6.773148,108.0
1,-76.982368,4.61351,6.773148,108.0
1,-77.060989,4.434677,6.34375,112.0
1,-77.060989,4.434677,6.34375,112.0
1,-77.060989,4.434677,6.34375,112.0
2,-77.060989,4.434677,6.34375,112.0
2,-77.060989,4.434677,6.34375,112.0
2,-77.18811,4.374237,6.952778,108.0
2,-77.18811,4.374237,6.952778,108.0
3,-77.18811,4.374237,6.952778,108.0
3,-77.18811,4.374237,6.952778,108.0
3,-77.446479,4.877182,6.168965,116.0
3,-77.446479,4.877182,6.168965,116.0
4,-77.446479,4.877182,6.168965,116.0
4,-77.446479,4.877182,6.168965,116.0
4,-77.446479,4.877182,6.168965,116.0
4,-77.08052,4.735046,6.447414,116.0
5,-77.08052,4.735046,6.447414,116.0
5,-77.08052,4.735046,6.447414,116.0
5,-77.08052,4.735046,6.447414,116.0
5,-77.234222,4.686577,5.945833,120.0
6,-77.234222,4.686577,5.945833,120.0
6,-77.234222,4.686577,5.945833,120.0
6,-77.234222,4.686577,5.945833,120.0
6,-77.234222,4.686577,5.945833,120.0
7,-76.956474,4.421318,6.137097,124.0
7,-76.956474,4.421318,6.137097,124.0
7,-76.956474,4.421318,6.137097,124.0
7,-76.956474,4.421318,6.137097,124.0
8,-76.978263,3.826668,6.4375,120.0
8,-76.978263,3.826668,6.4375,120.0
8,-76.978263,3.826668,6.4375,120.0
8,-76.978263,3.826668,6.4375,120.0
9,-76.978263,3.826668,6.4375,120.0
9,-76.968719,4.363457,6.492241,116.0
9,-76.968719,4.363457,6.492241,116.0
9,-76.968719,4.363457,6.492241,116.0
10,-76.968719,4.363457,6.492241,116.0
10,-77.512382,4.875435,5.633871,124.0
10,-77.512382,4.875435,5.633871,124.0
10,-77.512382,4.875435,5.633871,124.0
11,-77.512382,4.875435,5.633871,124.0
11,-77.512382,4.875435,5.633871,124.0
11,-77.56678,5.012932,5.679032,124.0
11,-77.56678,5.012932,5.679032,124.0
12,-77.56678,5.012932,5.679032,124.0
12,-77.56678,5.012932,5.679032,124.0
12,-77.613952,3.804092,6.301724,116.0
12,-77.613952,3.804092,6.301724,116.0
13,-77.613952,3.804092,6.301724,116.0
13,-77.613952,3.804092,6.301724,116.0
13,-77.613952,3.804092,6.301724,116.0
13,-77.104362,4.780571,6.266379,116.0
14,-77.104362,4.780571,6.266379,116.0
14,-77.104362,4.780571,6.266379,116.0
14,-77.104362,4.780571,6.266379,116.0
14,-77.087524,4.258034,6.338793,116.0
15,-77.087524,4.258034,6.338793,116.0
15,-77.087524,4.258034,6.338793,116.0
15,-77.087524,4.258034,6.338793,116.0
15,-77.087524,4.258034,6.338793,116.0
16,-76.731399,4.594231,5.841129,124.0
16,-76.731399,4.594231,5.841129,124.0
16,-76.731399,4.594231,5.841129,124.0
16,-76.731399,4.594231,5.841129,124.0
17,-76.855735,4.389343,6.696429,112.0
17,-76.855735,4.389343,6.696429,112.0
17,-76.855735,4.389343,6.696429,112.0
17,-76.855735,4.389343,6.696429,112.0
18,-76.855735,4.389343,6.696429,112.0
18,-76.967353,4.649536,6.1,124.0
18,-76.967353,4.649536,6.1,124.0
18,-76.967353,4.649536,6.1,124.0
19,-76.967353,4.649536,6.1,124.0
19,-76.68647,4.136002,6.082031,128.0
19,-76.68647,4.136002,6.082031,128.0
19,-76.68647,4.136002,6.082031,128.0
20,-76.68647,4.136002,6.082031,128.0
20,-76.68647,4.136002,6.082031,128.0
20,-77.173805,3.914902,5.612879,132.0
20,-77.173805,3.914902,5.612879,132.0
21,-77.173805,3.914902,5.612879,132.0
21,-77.173805,3.914902,5.612879,132.0
21,-76.736564,4.486565,5.735938,128.0
21,-76.736564,4.486565,5.735938,128.0
22,-76.736564,4.486565,5.735938,128.0
22,-76.736564,4.486565,5.735938,128.0
22,-76.736564,4.486565,5.735938,128.0
22,-76.775489,4.814705,5.405882,136.0
23,-76.775489,4.814705,5.405882,136.0
23,-76.775489,4.814705,5.405882,136.0
23,-76.775489,4.814705,5.405882,136.0
23,-77.307266,3.980469,5.845968,124.0
24,-77.307266,3.980469,5.845968,124.0
24,-77.307266,3.980469,5.845968,124.0
24,-77.307266,3.980469,5.845968,124.0
24,-77.307266,3.980469,5.845968,124.0
25,-76.765075,4.670837,5.447143,140.0
25,-76.765075,4.670837,5.447143,140.0
