CIR,CIR,CIR,CIR,FirstPathPL,FirstPathPL,FirstPathPL,FirstPathPL,maxNoise,maxNoise,maxNoise,maxNoise,RX_level,RX_level,RX_level,RX_level,FPPL,FPPL,FPPL,FPPL
0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
1899.0,1899.0,1899.0,1899.0,47785.0,47785.0,47785.0,47785.0,1716.0,1716.0,1716.0,1716.0,-79.053466,-79.053466,-79.053466,-79.053466,-82.535537,-82.535537,-82.535537,-82.535537
1899.0,1899.0,1899.0,1899.0,47785.0,47785.0,47785.0,47785.0,1716.0,1716.0,1716.0,1716.0,-79.053466,-79.053466,-79.053466,-79.053466,-82.535537,-82.535537,-82.535537,-82.535537
1894.0,1894.0,1894.0,1894.0,48089.0,48089.0,48089.0,48089.0,1689.0,1689.0,1689.0,1689.0,-79.217292,-79.217292,-79.217292,-79.217292,-83.126342,-83.126342,-83.126342,-83.126342
1894.0,1894.0,1894.0,1894.0,48089.0,48089.0,48089.0,48089.0,1689.0,1689.0,1689.0,1689.0,-79.217292,-79.217292,-79.217292,-79.217292,-83.126342,-83.126342,-83.126342,-83.126342
1894.0,2243.0,2243.0,2243.0,48089.0,47892.0,47892.0,47892.0,1689.0,1782.0,1782.0,1782.0,-79.217292,-79.228736,-79.228736,-79.228736,-83.126342,-82.853324,-82.853324,-82.853324
2243.0,2243.0,2243.0,2243.0,47892.0,47892.0,47892.0,47892.0,1782.0,1782.0,1782.0,1782.0,-79.228736,-79.228736,-79.228736,-79.228736,-82.853324,-82.853324,-82.853324,-82.853324
2243.0,2243.0,2284.0,2284.0,47892.0,47892.0,47692.0,47692.0,1782.0,1782.0,1694.0,1694.0,-79.228736,-79.228736,-78.41558,-78.41558,-82.853324,-82.853324,-82.725097,-82.725097
2284.0,2284.0,2284.0,2284.0,47692.0,47692.0,47692.0,47692.0,1694.0,1694.0,1694.0,1694.0,-78.41558,-78.41558,-78.41558,-78.41558,-82.725097,-82.725097,-82.725097,-82.725097
2284.0,2284.0,2284.0,2295.0,47692.0,47692.0,47692.0,47989.0,1694.0,1694.0,1694.0,1624.0,-78.41558,-78.41558,-78.41558,-78.41558,-82.725097,-82.725097,-82.725097,-82.725097
2295.0,2295.0,2295.0,2295.0,47989.0,47989.0,47989.0,47989.0,1624.0,1624.0,1624.0,1624.0,-78.41558,-78.41558,-78.41558,-78.41558,-82.725097,-82.725097,-82.725097,-82.725097
