,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,dance,-5.14,9.59,2.5,-0.01337,0.08169,0.03598
1,dance,-5.02,8.11,1.09,0.01239,0.01169,-0.01309
2,dance,-5.02,8.11,1.09,0.01239,0.01169,-0.01309
3,dance,-10.29,7.61,1.83,-0.06769,-0.08806,-0.04697
4,dance,-10.29,7.61,1.83,-0.06769,-0.08806,-0.04697
5,dance,4.02,7.53,-6.66,0.03087,-0.11235,-0.03906
6,dance,-3.93,8.42,-1.39,0.03948,0.19614,0.04627
7,dance,-3.93,8.42,-1.39,0.03948,0.19614,0.04627
8,dance,-9.55,1.64,1.48,0.02408,-0.11074,-0.03248
9,dance,-2.56,7.29,-0.54,-0.05509,-0.01085,-0.05831
