,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,still,8.85,1.29,3.78,0.00182,-0.00497,7e-05
1,still,8.89,1.33,3.71,0.00182,-0.00504,0.00014
2,still,8.89,1.33,3.71,0.00182,-0.00504,0.00014
3,still,8.85,1.4,3.67,0.00189,-0.00483,7e-05
4,still,8.85,1.29,3.74,0.00182,-0.0049,7e-05
5,still,8.85,1.29,3.74,0.00182,-0.0049,7e-05
6,still,8.81,1.33,3.74,0.00182,-0.00504,7e-05
7,still,8.81,1.33,3.74,0.00182,-0.00504,7e-05
8,still,8.81,1.4,3.67,0.00182,-0.00511,7e-05
9,still,8.89,1.29,3.71,0.00182,-0.00504,7e-05
