,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,move,-10.68,19.89,-4.94,0.0189,-0.01022,0.0056
1,move,-10.68,19.89,-4.94,0.0189,-0.01022,0.0056
2,move,-10.68,19.89,-4.94,0.0189,-0.01022,0.0056
3,move,-10.68,19.89,-4.94,0.0189,-0.01022,0.0056
4,move,-10.68,19.89,-4.94,0.0189,-0.01022,0.0056
5,move,7.29,-0.22,2.65,0.0791,-0.00637,-0.1239
6,move,7.29,-0.22,2.65,0.0791,-0.00637,-0.1239
7,move,7.29,-0.22,2.65,0.0791,-0.00637,-0.1239
8,move,7.29,-0.22,2.65,0.0791,-0.00637,-0.1239
9,move,2.61,3.9,4.13,-0.01477,0.06881,-0.05859
10,move,2.61,3.9,4.13,-0.01477,0.06881,-0.05859
11,move,2.61,3.9,4.13,-0.01477,0.06881,-0.05859
12,move,2.61,3.9,4.13,-0.01477,0.06881,-0.05859
13,move,2.61,3.9,4.13,-0.01477,0.06881,-0.05859
14,move,17.55,15.8,-15.98,-0.12306,0.30835,-0.05957
15,move,17.55,15.8,-15.98,-0.12306,0.30835,-0.05957
16,move,17.55,15.8,-15.98,-0.12306,0.30835,-0.05957
17,move,17.55,15.8,-15.98,-0.12306,0.30835,-0.05957
18,move,17.55,15.8,-15.98,-0.12306,0.30835,-0.05957
19,move,-6.5,9.79,-7.01,0.07826,0.75257,-0.18515
20,move,-6.5,9.79,-7.01,0.07826,0.75257,-0.18515
21,move,-6.5,9.79,-7.01,0.07826,0.75257,-0.18515
22,move,-6.5,9.79,-7.01,0.07826,0.75257,-0.18515
23,move,-6.5,9.79,-7.01,0.07826,0.75257,-0.18515
24,move,-13.06,0.55,-8.65,0.08575,0.61474,-0.34461
25,move,-13.06,0.55,-8.65,0.08575,0.61474,-0.34461
26,move,-13.06,0.55,-8.65,0.08575,0.61474,-0.34461
27,move,-13.06,0.55,-8.65,0.08575,0.61474,-0.34461
28,move,-19.88,-1.78,19.89,-0.3269,0.00098,-0.25438
29,move,-19.88,-1.78,19.89,-0.3269,0.00098,-0.25438
30,move,-19.88,-1.78,19.89,-0.3269,0.00098,-0.25438
31,move,-19.88,-1.78,19.89,-0.3269,0.00098,-0.25438
32,move,-19.88,-1.78,19.89,-0.3269,0.00098,-0.25438
33,move,1.09,6.9,-9.08,0.07532,-0.18375,-0.01624
34,move,1.09,6.9,-9.08,0.07532,-0.18375,-0.01624
35,move,1.09,6.9,-9.08,0.07532,-0.18375,-0.01624
36,move,1.09,6.9,-9.08,0.07532,-0.18375,-0.01624
37,move,1.09,6.9,-9.08,0.07532,-0.18375,-0.01624
38,move,-6.11,12.87,4.56,0.11613,0.266,-0.09653
39,move,-6.11,12.87,4.56,0.11613,0.266,-0.09653
