,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
1,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
2,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
3,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
4,wave,7.57,6.01,7.14,-0.00175,0.00665,0.02751
5,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
6,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
7,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
8,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
9,wave,-3.89,-15.12,-19.88,0.04179,-0.13769,-0.17514
10,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
11,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
12,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
13,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
14,wave,2.15,14.74,9.87,-0.10178,0.20076,0.21812
15,wave,-1.86,-5.92,-7.44,0.01946,-0.02366,0.02653
16,wave,-1.86,-5.92,-7.44,0.01946,-0.02366,0.02653
17,wave,-1.86,-5.92,-7.44,0.01946,-0.02366,0.02653
18,wave,-1.86,-5.92,-7.44,0.01946,-0.02366,0.02653
19,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
20,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
21,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
22,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
23,wave,2.38,-4.48,1.64,0.03668,-0.11228,-0.1316
24,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
25,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
26,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
27,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
28,wave,5.15,15.25,11.66,-0.14133,0.16604,0.25816
29,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
30,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
31,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
32,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
33,wave,-2.56,-19.88,-15.32,0.00756,-0.1743,-0.22876
34,wave,4.13,1.72,0.08,-0.01554,0.04326,0.1085
35,wave,4.13,1.72,0.08,-0.01554,0.04326,0.1085
36,wave,4.13,1.72,0.08,-0.01554,0.04326,0.1085
37,wave,4.13,1.72,0.08,-0.01554,0.04326,0.1085
38,wave,4.64,9.87,7.18,-0.00196,0.10661,0.20195
39,wave,4.64,9.87,7.18,-0.00196,0.10661,0.20195
