activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL
0,1890.0,47804.0,1765.0,-79.335517,-81.312988
0,1890.0,47804.0,1765.0,-79.335517,-81.312988
1,1890.0,47804.0,1765.0,-79.335517,-81.312988
1,1890.0,47804.0,1765.0,-79.335517,-81.312988
2,1890.0,47804.0,1765.0,-79.335517,-81.312988
2,1890.0,47804.0,1765.0,-79.335517,-81.312988
3,1890.0,47804.0,1765.0,-79.335517,-81.312988
3,1890.0,47804.0,1765.0,-79.335517,-81.312988
4,1890.0,47804.0,1765.0,-79.335517,-81.312988
4,2044.0,47711.0,1727.0,-79.237922,-82.360763
5,2044.0,47711.0,1727.0,-79.237922,-82.360763
5,2044.0,47711.0,1727.0,-79.237922,-82.360763
6,2044.0,47711.0,1727.0,-79.237922,-82.360763
6,2044.0,47711.0,1727.0,-79.237922,-82.360763
7,2044.0,47711.0,1727.0,-79.237922,-82.360763
7,2044.0,47711.0,1727.0,-79.237922,-82.360763
8,2044.0,47711.0,1727.0,-79.237922,-82.360763
8,2044.0,47711.0,1727.0,-79.237922,-82.360763
9,2044.0,47711.0,1727.0,-79.237922,-82.360763
9,2060.0,48096.0,1481.0,-78.897727,-80.987831
10,2060.0,48096.0,1481.0,-78.897727,-80.987831
10,2060.0,48096.0,1481.0,-78.897727,-80.987831
11,2060.0,48096.0,1481.0,-78.897727,-80.987831
11,2060.0,48096.0,1481.0,-78.897727,-80.987831
12,2060.0,48096.0,1481.0,-78.897727,-80.987831
12,2060.0,48096.0,1481.0,-78.897727,-80.987831
13,2060.0,48096.0,1481.0,-78.897727,-80.987831
13,2060.0,48096.0,1481.0,-78.897727,-80.987831
14,1753.0,47978.0,1542.0,-78.863868,-81.135978
14,1753.0,47978.0,1542.0,-78.863868,-81.135978
15,1753.0,47978.0,1542.0,-78.863868,-81.135978
15,1753.0,47978.0,1542.0,-78.863868,-81.135978
16,1753.0,47978.0,1542.0,-78.863868,-81.135978
16,1753.0,47978.0,1542.0,-78.863868,-81.135978
17,1753.0,47978.0,1542.0,-78.863868,-81.135978
17,1753.0,47978.0,1542.0,-78.863868,-81.135978
18,1753.0,47978.0,1542.0,-78.863868,-81.135978
18,1753.0,47978.0,1542.0,-78.863868,-81.135978
19,1825.0,47912.0,1483.0,-79.56472,-81.605827
19,1825.0,47912.0,1483.0,-79.56472,-81.605827
20,1825.0,47912.0,1483.0,-79.56472,-81.605827
20,1825.0,47912.0,1483.0,-79.56472,-81.605827
21,1825.0,47912.0,1483.0,-79.56472,-81.605827
21,1825.0,47912.0,1483.0,-79.56472,-81.605827
22,1825.0,47912.0,1483.0,-79.56472,-81.605827
22,1825.0,47912.0,1483.0,-79.56472,-81.605827
23,1825.0,47912.0,1483.0,-79.56472,-81.605827
23,1825.0,47912.0,1483.0,-79.56472,-81.605827
24,1928.0,47876.0,1446.0,-79.389907,-81.618064
24,1928.0,47876.0,1446.0,-79.389907,-81.618064
25,1928.0,47876.0,1446.0,-79.389907,-81.618064
25,1928.0,47876.0,1446.0,-79.389907,-81.618064
26,1928.0,47876.0,1446.0,-79.389907,-81.618064
26,1928.0,47876.0,1446.0,-79.389907,-81.618064
27,1928.0,47876.0,1446.0,-79.389907,-81.618064
27,1928.0,47876.0,1446.0,-79.389907,-81.618064
28,1928.0,47876.0,1446.0,-79.389907,-81.618064
28,2115.0,47776.0,1541.0,-79.151466,-81.350944
29,2115.0,47776.0,1541.0,-79.151466,-81.350944
29,2115.0,47776.0,1541.0,-79.151466,-81.350944
30,2115.0,47776.0,1541.0,-79.151466,-81.350944
30,2115.0,47776.0,1541.0,-79.151466,-81.350944
31,2115.0,47776.0,1541.0,-79.151466,-81.350944
31,2115.0,47776.0,1541.0,-79.151466,-81.350944
32,2115.0,47776.0,1541.0,-79.151466,-81.350944
