,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
0,LOS,1989.0,47977.0,1876.0,-79.258651,-82.972061,2.570316
1,LOS,1886.0,47887.0,1713.0,-79.016189,-82.628379,2.589077
2,LOS,1983.0,47783.0,1684.0,-79.247123,-82.99366,2.607838
3,LOS,2144.0,47680.0,1621.0,-79.029312,-82.959869,2.551554
4,LOS,2064.0,48076.0,1611.0,-78.690292,-83.074447,2.589077
5,LOS,1712.0,47958.0,1465.0,-78.855438,-83.018516,2.589077
6,LOS,2077.0,47856.0,1688.0,-79.667503,-83.944816,2.570316
7,LOS,2099.0,47764.0,1561.0,-78.82817,-81.993621,2.532793
8,LOS,2005.0,47649.0,1694.0,-78.782417,-81.909797,2.551554
9,LOS,2018.0,48041.0,1760.0,-78.981391,-81.810127,2.551554
10,LOS,1963.0,47937.0,1691.0,-78.953323,-81.677398,2.570316
11,LOS,1884.0,47831.0,1527.0,-79.073333,-82.705848,2.6266
12,LOS,2035.0,47720.0,1502.0,-79.251731,-82.687309,2.570316
13,LOS,1967.0,48116.0,1619.0,-78.916893,-81.81034,2.532793
14,LOS,2066.0,48000.0,1613.0,-79.064498,-82.598053,2.570316
15,LOS,2099.0,47887.0,1619.0,-78.851234,-83.259796,2.589077
16,LOS,1820.0,47768.0,1552.0,-78.782417,-83.172241,2.6266
17,LOS,1800.0,47660.0,1723.0,-79.401824,-84.071556,2.570316
18,LOS,1951.0,48059.0,1553.0,-79.449813,-84.047775,2.570316
19,LOS,1918.0,47933.0,1625.0,-79.099967,-83.426437,2.607838
20,LOS,1909.0,47816.0,1639.0,-79.174049,-83.562194,2.589077
21,LOS,2031.0,47699.0,1548.0,-79.19448,-83.919456,2.570316
22,LOS,1981.0,48090.0,1719.0,-78.925437,-83.450454,2.6266
23,LOS,1766.0,47964.0,1337.0,-79.033691,-83.356376,2.607838
24,LOS,1805.0,47832.0,1644.0,-79.53263,-84.566978,2.589077
25,LOS,1767.0,47704.0,1489.0,-79.437767,-83.961921,2.607838
26,LOS,1907.0,48089.0,1557.0,-79.530174,-84.37384,2.589077
27,LOS,1895.0,47970.0,1619.0,-79.199028,-83.761169,2.607838
28,LOS,1907.0,47849.0,1550.0,-79.226448,-83.662307,2.607838
29,LOS,1939.0,47713.0,1626.0,-79.199028,-83.783447,2.607838
30,LOS,1877.0,48095.0,1638.0,-79.126762,-83.465972,2.589077
31,LOS,2029.0,47854.0,1620.0,-79.155975,-82.994285,2.551554
32,LOS,2040.0,47731.0,1713.0,-78.929718,-82.70729,2.570316
33,LOS,1960.0,48105.0,1893.0,-78.906234,-82.708442,2.6266
34,LOS,2008.0,47974.0,1894.0,-79.079978,-82.808029,2.589077
35,LOS,1960.0,47853.0,1643.0,-78.974899,-82.799385,2.551554
36,LOS,2048.0,47731.0,1622.0,-79.079978,-83.064018,2.6266
37,LOS,1925.0,48102.0,1615.0,-78.889236,-83.187973,2.607838
38,LOS,1922.0,47968.0,1747.0,-79.158233,-82.676864,2.607838
39,LOS,2001.0,47830.0,1692.0,-79.165008,-82.002479,2.607838
40,LOS,1892.0,47702.0,1625.0,-78.990066,-82.505188,2.589077
41,LOS,1873.0,48082.0,1557.0,-79.233329,-83.092964,2.589077
42,LOS,1944.0,47946.0,1466.0,-79.27716,-83.452644,2.570316
43,LOS,2009.0,47795.0,1803.0,-79.115577,-83.389961,2.589077
44,LOS,2035.0,47650.0,1691.0,-78.97274,-82.44065,2.532793
45,LOS,1916.0,48024.0,1620.0,-78.916893,-82.474266,2.589077
46,LOS,1889.0,47892.0,1555.0,-79.178581,-82.829628,2.570316
47,LOS,1905.0,47751.0,1720.0,-79.240219,-83.429733,2.607838
48,LOS,1876.0,48102.0,1627.0,-79.20359,-83.343688,2.589077
49,LOS,1960.0,47955.0,1540.0,-79.27021,-82.760116,2.551554
