,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
0,NLOS,1839.0,47795.0,649.0,-79.535095,-89.263443,4.052468
1,NLOS,1792.0,47946.0,681.0,-79.356719,-87.274902,4.146276
2,NLOS,1789.0,48077.0,683.0,-79.469162,-85.923347,4.146276
3,NLOS,1745.0,47713.0,577.0,-79.476432,-86.695701,4.089991
4,NLOS,1786.0,47874.0,680.0,-79.584587,-86.895126,4.108753
5,NLOS,1705.0,48013.0,547.0,-79.483726,-86.496162,4.127514
6,NLOS,1842.0,47663.0,733.0,-79.685295,-86.741729,4.07123
7,NLOS,1840.0,47789.0,711.0,-79.349639,-86.915275,4.089991
8,NLOS,1745.0,47924.0,642.0,-79.354362,-86.612419,4.052468
9,NLOS,1966.0,48068.0,791.0,-79.584587,-86.780761,4.089991
10,NLOS,1844.0,47689.0,653.0,-79.066703,-85.909973,4.07123
11,NLOS,1838.0,47941.0,683.0,-79.535095,-86.852798,4.127514
12,NLOS,1906.0,48071.0,716.0,-79.359085,-86.173934,4.108753
13,NLOS,1833.0,47688.0,757.0,-79.201309,-86.105606,4.07123
14,NLOS,1869.0,47817.0,753.0,-79.37091,-86.571083,4.108753
15,NLOS,1783.0,47942.0,679.0,-79.286445,-86.504653,4.127514
16,NLOS,1725.0,48060.0,577.0,-79.491027,-86.484992,4.089991
17,NLOS,1973.0,47685.0,680.0,-79.634651,-86.954238,4.127514
18,NLOS,1788.0,47795.0,749.0,-79.051269,-85.493804,4.07123
19,NLOS,1876.0,47924.0,791.0,-79.478866,-86.8861,4.07123
20,NLOS,1787.0,48037.0,735.0,-79.27021,-86.795883,4.089991
21,NLOS,1905.0,47629.0,777.0,-79.481292,-87.051322,4.07123
22,NLOS,1709.0,47741.0,575.0,-79.20359,-86.304595,4.07123
23,NLOS,1814.0,47855.0,609.0,-79.675117,-87.031799,4.089991
24,NLOS,1814.0,47954.0,645.0,-79.416168,-86.855026,4.089991
25,NLOS,1809.0,48066.0,670.0,-79.416168,-86.596702,4.127514
26,NLOS,1881.0,47640.0,650.0,-79.428154,-86.249259,4.108753
27,NLOS,1725.0,47743.0,573.0,-79.258651,-86.581367,4.07123
28,NLOS,1891.0,47846.0,782.0,-79.634651,-87.065597,4.089991
29,NLOS,1802.0,47944.0,778.0,-79.235626,-86.462036,4.089991
30,NLOS,1829.0,48033.0,581.0,-79.444992,-86.28955,4.108753
31,NLOS,1727.0,47605.0,576.0,-79.380401,-86.759361,4.108753
32,NLOS,1848.0,47688.0,611.0,-79.629615,-87.1697,4.089991
33,NLOS,1804.0,47791.0,648.0,-79.335517,-86.270164,4.07123
34,NLOS,1737.0,47875.0,515.0,-79.44017,-86.944931,4.07123
35,NLOS,1859.0,47949.0,616.0,-79.604537,-86.300262,4.108753
36,NLOS,1839.0,48014.0,715.0,-79.309745,-86.278724,4.146276
37,NLOS,1921.0,48095.0,711.0,-79.356719,-86.706352,4.108753
38,NLOS,1716.0,47664.0,546.0,-79.167266,-86.539222,4.089991
39,NLOS,1997.0,47753.0,717.0,-79.657363,-87.40216,4.052468
40,NLOS,1915.0,47815.0,715.0,-78.998756,-85.666435,4.127514
41,NLOS,1860.0,47880.0,679.0,-79.180847,-86.101364,4.089991
42,NLOS,1866.0,47946.0,756.0,-79.307411,-85.862998,4.07123
43,NLOS,1670.0,48007.0,572.0,-79.293418,-85.847923,4.089991
44,NLOS,1823.0,48076.0,646.0,-79.775375,-86.479148,4.07123
45,NLOS,1817.0,47630.0,580.0,-79.394668,-86.363128,4.089991
46,NLOS,1771.0,47680.0,679.0,-79.408988,-86.317253,4.089991
47,NLOS,1856.0,47796.0,730.0,-79.444992,-86.791557,4.07123
48,NLOS,1797.0,47846.0,712.0,-79.316757,-86.855087,4.127514
49,NLOS,1945.0,47893.0,578.0,-79.457061,-86.949249,4.07123
